startphrase,ending1,ending2,correct_label
His attention span is as long as a hair pin,He has a really good attention span.,His attention span is nonexistent.,1
My depression these days is like a close friend.,The speaker hates their depression but has not had to deal with it in a while.,The speaker deals with their depression so constantly that they have grown used to it.,1
It's as loud as a hurricane,It's very loud,It makes no noise at all,0
His depression was a gaping hole inside his heart.,His depression weighed deeply inside of him and left him feeling alone.,Everyone in the room was aware of his depression and getting warning signs from it.,0
you're about as skinny as a pig,you are very skinny,you are fat,1
The process has the complexity of Intricate clockwork,The process is simple,The process is complex,1
The night was as rowdy as a senior home,The night was very rowdy.,The night was very dull.,1
His heart is as light as a feather.,He is guilt free and happy,He is cold and heartless,0
Her sight is as good as a mole,Her sight is excellent,Her sight is terrible.,1
The sculptor is a lumberjack.,The sculptor is careful.,The sculptor is sloppy.,1
The security team is effective as fighting a wildfire with a watergun,The security team is useless,The security team is very effective,0
The chocolate cake is as fluffy as cotton candy,The chocolate cake is light.,The chocolate cake is dense.,0
He has the personality of a wet noodle,He has a flat and boring personality.,He has a sweet and friendly personality.,0
The movie plot was as intricate as A child's first toy,The movie plot was convoluted,The movie plot was simple.,1
This guy has the pleasantness of a tiger,This guy is nice,This guy is rude,1
The night sky was as dark as a milky latte,The night sky was pitch black.,The night sky was very light.,1
My wife's cooking tastes like cardboard,My wife is a terrible cook.,My wife is an excellent cook.,0
The party was as fun as paying electricity bills,The party was very boring.,The party was really fun.,0
The military is as organized as a chessboard.,The military is very organized.,The military is not organized at all.,0
Their family is a peace corps,Their family is combative,Their family is helpful,1
The student's performance was as competitive as a sleeping kitten,The student's performance was great.,The student's performance was lackluster.,1
"I saw him running, he's an elephant",He runs fast,He is a slow runner,1
The running dog is A stranger on the street,The running dog is man's best friend,The running dog avoids people,1
This new book is as profound as an English freshman's first essay.,"The book shows psychological depth, lyrical poetry, and appeal of a classic work of literature.",The book is simplistic and amateurish.,1
The movie has the length of a gasp.,The movie is long.,The movie is short.,1
The movie has the charm of a blind date with a wild boar.,The movie is not charming.,The movie is charming.,0
The girl's life was as dramatic as the ocean at low tide,The girl's life was bland.,The girl's life was full of drama.,0
George moved like a chicken with its head cut off,George was very focused,George lacked proper focus in the way he conducted himself,1
His ideas are the size of Eurasia,His ideas are large,His ideas are small,0
The board game requires the strategy of an embryo turned newborn,The board game requires a lot of strategy,The board game requires almost no strategy,1
The food has all the flavor of dried sugar-free oatmeal,The food has a ton of flavor,The food is pretty bland,1
This house is made out of diamond,"The house is flimsy, and could fall apart easily.",The house is durable and resistent to damage/the elements.,1
The assignment was as clear as chocolate pudding,The assignment was hard to understand.,The assignment was easy to understand.,0
My house is a castle,My house is elegant and proud.,My house is a mess.,0
That couch is as soft as a boulder,The couch is hard,The couch is soft,0
The man is as sharp as a bowling ball,The man is stupid,The man is smart,0
The car was as fast as molasses,The car was fast,The car was slow,1
He was as inconspicuous as a peacock,He was very inconspicuous,He was highly conspicuous and noticeable.,1
The quarterback put forth the effort of A weak infant,The quarterback did not try hard,The quarterback put forth great effort,0
The relationship between Democrats and Republicans is that over a couple married for 50 years.,Democrats and Republicans do not get along.,Democrats and Republicans tolerate each other.,1
The song is as deep as A closet,The song is superficial,The song is heartfelt,0
Her voice is as pleasant as a mad cat,Her voice is annoying,Her voice is soothing,0
That person is as useful as a DVD rewinder.,The person's presence has no value.,The person is quite resourceful and helpful.,0
The tower is as tall as an anthill,The tower is very short,The tower is extremely tall,0
The phone is as loud as a whisper,The phone is very quiet,The phone is very loud,0
The boy moves as swiftly as a boulder,The boy moves with great swiftness.,The boy is very slow.,1
That man's about as deep as the Mediterranean sea.,That man is not deep at all.,That man is very deep.,1
Things around here are about as orderly as a gulag.,Things around there are not orderly at all.,Things around there are extremely orderly.,1
I've got the memory of an elephant.,The person has a great memory.,The person has a really bad memory.,0
The pillow was as soft as a cement slab,The pillow was soft,the pillow was hard,1
He was as slimy as a puppy,He was someone who couldn't be trusted,He was someone you could trust,1
He is as mean as Mother Teresa,He is mean,He is kind,1
The girl left a mark as indelible as a pencil,The girl left a huge impact.,The girl's impact was minimal.,1
That complex was a standing titan,The complex is strong,The complex has a noticeable weak point,0
The man has the intelligence of a frog.,The man is stupid.,The man is smart.,0
Cats are scratches come to life.,Cats are violent.,Cats are friendly.,0
The critic's review of the concert rang of A disapproving rant from an angry mother,The critic's review was negative and bad,The critic's review was good and full of praise,0
The task group worked at the rate of A drop of frozen molasses,The group worked slowly,The group worked fast,0
The teacher was as successful in her occupation as a lame-duck President.,"The teacher was inventive, at the forefront of her occupation, and highly successful.","The teacher was unsuccessful, basically useless in getting anything accomplished.",1
Those two get along like a cold and vitamin-C.,They get along really poorly,They get along really well.,0
Those individuals are a bunch of snowflakes,The individuals are homogenous,The individuals are unique,1
The pudding tastes like A chocolate ocean.,The pudding is not at all edible,The pudding is delicious,1
The grass was the green of puke,The grass was healthy and bright green,The grass was dying and ugly green,1
The old man had the health of a young stallion,The man was healthy,The man was not healthy,0
The air felt like knives against her skin,the air was so freezing it hurt,the air was hot and humid,0
She was as sad as a child on Christmas morning.,She was sad,She was happy,1
The panda has the spots of a rubber duck,The panda is very spotted,The panda lacks spots,1
The tree was as old as a newborn baby,The tree was old,The tree was young,1
This life is a raging storm,This life is a crazy place to live in.,"This life is filled with good and bad things, happy and sad moments.",0
The park has all the appeal of a free triple scoop ice cream cone on a hot day.,The park is disgusting.,The park is enticing.,1
The girl moved as fast as a turtle,The girl was quick,The girl was slow,1
The pizza was as large as a polka dot,The pizza was enormous.,The pizza was tiny.,1
This cup had the filth of the Great Pacific garbage patch,It is quite dirty,It's clean as can be,0
Love is mysterious like a witch,Love cannot always be explained (in a good way),Love is trouble,1
The fruit has the blueness of a depressed painter's canvas,Th fruit is very blue,The fruit isn't blue at all,0
This place is as friendly as a party,This place is friendly,This place is unfriendly and hostile,0
He cooked like a monkey.,He was precise in his way of cooking.,He was bad at cooking.,1
The actor's skin is a piece of glass.,The actor's skin is bumpy and flaky.,The actor's skin is smooth.,1
The enemy has all the menace of a puppy,The enemy is menacing.,The enemy is nonthreatening.,1
The amount of his deceit was the Pacific Ocean,The deceit was large,The deceit was small,0
The inflation rate these days is a pig in a pen,Inflation has gotten out of control.,Inflation is under control.,1
The interns are as common as kitchen sinks,There are tons of interns.,There aren't that many interns.,0
The car ride is like mountain biking through a quarry,The car ride is smooth and soothing,The car ride is bumpy,1
Her wit was a sharp as a tack,She was extremely witty.,She was dull at the best of times.,0
This song has the tempo of a bullet train,This song is fast,This song is slow,0
The fortress was as impenetrable as a wall,The fortress was well defended and reinforced.,The fortress was easily breached.,0
The fortress was as impenetrable as paper,The fortress was well defended and reinforced.,The fortress was easily breached.,1
The horse has the staying power of a three-legged dog.,The horse has little endurance.,The horse has lots of endurance.,0
The opera's plot has the solidity of a brass ingot.,The opera's plot has many holes.,The opera's plot is integral.,1
This bag is as light as a 600 lb gorilla,The bag is nearly weightless,The bag is extremely heavy,1
This place is as hot as Syberia in winter,This place is so hot it could burn you,This place is actually extremely cold,1
Her hair is A waterfall,Her hair is reflective and shiny,Her hair is dry and lifeless,0
This tree is as tall as the space needle,The tree is very tall,The tree is not tall at all,0
The departmental store manager has a golden heart,The departmental store manager is kind and friendly.,"The departmental store manager is unfriendly, cruel and unkind",0
The old woman was a mountain,"The old woman was feisty, fiery, energetic, kinetic.",The old woman was still and unmovable.,1
The Brain is a Prism,brain is hypersensitive and connects many things.,brain take one input and gives multiple output.,1
He is as loud as a teenager sneaking back into the house after curfew,He is quiet,He is loud,0
This water is as clear as the La Brea Tar Pits,The water is very murky,The water is very clear,0
Riding a motorcycle is as dangerous as walking down the street,Riding a motorcycle is very dangerous,Riding a motorcycle isn't any more dangerous than doing normal everyday things.,1
The fortress had the strength of a new born baby,The fortress was very strong,The fortress was very weak,1
The witness is like Like an old broom,They know about all the dirt,They don't give up anything easily,0
The soldiers thought the war was as fun as a page from an adventure comic,"The war was fun, fanciful, and enjoyable.","The war was not fun, hard, and mind-numbing",0
That man has the laughter of booming thunder,It's a very loud and deep laugh,It's barely audible and high-pitched,0
That man has the laughter of a mouse,It's a very loud and deep laugh,It's barely audible and high-pitched,1
He should be back before the sun implodes,He will be back quickly,He will be back slowly,1
Her commitment to the cause was as sturdy as plywood,She was committed,She was uncommitted,1
The crowd's reaction to the performance fizzled like fireworks,The crowd was enthusiastic,The crowd was unenthusiastic,0
The pilot flew like a modern dancer,The pilot flew in a restrained way,The pilot flew in a creative way,1
He had the air of a church leader,People were intimidated by him,People were not intimidated by him,1
She was as bright as obsidian,She was intelligent,She was unintelligent,1
Vanity is the tailwind of reason,Vanity destroys reason,Vanity motivates reason,1
Even a monkey falls from a tree sometimes,Experts can fail sometimes,Novices can succeed sometimes,0
Time is a river,You can't change the future,You can change the future,1
The bar is a cat's jump away,The bar is far away,The bar is close by,1
He had funnels in his ears throughout the lecture,He did pay attention,He did not pay attention,0
The conference had a rivulet of submission,There were few submissions,There were many submissions,0
She's about as sharp as a knife,She is smart,She is dimwitted,0
The software is a ball of yarn,The software is well protected,the software is messy,1
Her gaze is a disco ball,Her gaze is focused,Her gaze is diffuse,1
The foundation of the argument was titanium,The argument was sound,The argument was unsound,0
She is as dull as a knife,She is intelligent,She is unintelligent,0
The atom is like a cloud,Electrons orbit the nucleus,Electrons are in probability densities,1
The patient's blood vessels are a closet hallway,Blood is flowing smoothly,Blood is being blocked,1
Chromosomes are like a tapestry,Chromosomes are messy,Chromosomes are well organized,1
The nuclear reaction happened like falling dominoes,There were multiple steps to the reaction,The reaction happened all at once,0
The current is morse code,The current is continuous,The current is discrete,1
A chemical reaction is like a riot,The reaction is orderly,The reaction is disorderly,1
