startphrase,completion
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", it was not flexible at all
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", it was flexible enough to be a nightmare for students
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", it was flexible
"The chair was a tilt-a-whirl.That is to say,", it was a chair that could be tilted
"The chair was a tilt-a-whirl.That is to say,"," it was a chair that had been tilted in a circle, and it was now tilting back and forth"
"The chair was a tilt-a-whirl.That is to say,", it was a chair that could tilt
"The chair was a tilt-a-whirl.That is to say,", it was a chair that rotated
"The boy is a ballerina.That is to say,", he's a dancer
"The boy is a ballerina.That is to say,", he was a ballerina
"The boy is a ballerina.That is to say,", he's a boy who dances like a girl
"The boy is a ballerina.That is to say,"," he is a boy who dances on pointe, and he is also a boy who is very good at it"
"His drive home was a beatdown.That is to say,", he was in a bad mood
"His drive home was a beatdown.That is to say,", he was in a bad mood
"His drive home was a beatdown.That is to say,", I was a beatdown
"His drive home was a beatdown.That is to say,", it was a complete and utter disaster
"The book's plot was as twisted as a soft pretzel.That is to say,", it was twisted in the sense that it was a tangled mess of a plot
"The book's plot was as twisted as a soft pretzel.That is to say,", it was not
"The book's plot was as twisted as a soft pretzel.That is to say,", it was a story that was so twisted that it was hard to follow
"The book's plot was as twisted as a soft pretzel.That is to say,", it was twisted
"His skill in writing was as sharp as a spoon.That is to say,", he was a person who could write a sentence with a perfect sense of rhythm
"His skill in writing was as sharp as a spoon.That is to say,", it was a spoon that could cut through anything
"His skill in writing was as sharp as a spoon.That is to say,", it was a spoon
"His skill in writing was as sharp as a spoon.That is to say,", he was a man who could write as well as he could eat
"The child has the heart of gold.That is to say,", the child has the heart of a child
"The child has the heart of gold.That is to say,", the child has the heart of a goldfish
"The child has the heart of gold.That is to say,"," she is a good girl, and she is always good"
"The child has the heart of gold.That is to say,", he is a child with a heart of gold
"The boy is as daring as a roaring lion.That is to say,"," he is like a lion in the sense that he is bold and courageous, but he is not like a lion in the sense that he is fierce and"
"The boy is as daring as a roaring lion.That is to say,", he is a little lion
"The boy is as daring as a roaring lion.That is to say,", he is as brave as a lion
"The boy is as daring as a roaring lion.That is to say,", he is as brave as a lion
"The man is as sharp as needle.That is to say,", he is as sharp as a needle
"The man is as sharp as needle.That is to say,"," he is not as sharp as a needle, but he is sharp enough"
"The man is as sharp as needle.That is to say,", he is as sharp as a needle
"The man is as sharp as needle.That is to say,", he is sharp as a needle
"He has the belly of a bloated whale carcass.That is to say,"," he has the belly of a bloated whale carcass, and he is the bloated whale carcass"
"He has the belly of a bloated whale carcass.That is to say,", he is a fat man
"He has the belly of a bloated whale carcass.That is to say,", he has a belly
"He has the belly of a bloated whale carcass.That is to say,"," it is not just a belly, but a huge one"
"The car ride was as smooth as an alligator's skin.That is to say,"," it was smooth, but it was also bumpy, and it was also bumpy, but it was also smooth"
"The car ride was as smooth as an alligator's skin.That is to say,", it was a bumpy ride
"The car ride was as smooth as an alligator's skin.That is to say,"," it was smooth, but it was bumpy"
"The car ride was as smooth as an alligator's skin.That is to say,", it was smooth enough
"The man was as skinny as a sumo wrestler.That is to say,"," he was skinny, but his body was covered with muscles"
"The man was as skinny as a sumo wrestler.That is to say,", he was very thin
"The man was as skinny as a sumo wrestler.That is to say,", he was skinny
"The man was as skinny as a sumo wrestler.That is to say,", he was as skinny as a sumo wrestler who was not as fat as a sumo wrestler
"Raising a puppy is a walk through quicksand.That is to say,", you have to be a good swimmer to do it right
"Raising a puppy is a walk through quicksand.That is to say,"," if you don't know what you are doing,you will get sucked in"
"Raising a puppy is a walk through quicksand.That is to say,", it is a lot of work
"Raising a puppy is a walk through quicksand.That is to say,"," you can be sure that if you are not careful, you will get sucked in and lose your puppy"
"He had cotton in his ears throughout the lecture.That is to say,", he had cotton in his ears
"He had cotton in his ears throughout the lecture.That is to say,", he was wearing earplugs
"He had cotton in his ears throughout the lecture.That is to say,", he was wearing cotton in his ears throughout the lecture
"He had cotton in his ears throughout the lecture.That is to say,", he was not listening to the lecture
