startphrase,ending1,ending2,labels,valid
Her vision was as good as a bat,Her vision was not good,Her vision was good,0,1
Her vision was as good as an eagle,Her vision was not good,Her vision was good,1,1
The core of Jupiter is thought to be that of A solid rock sphere,The core of Jupiter is solid,The core of Jupiter is liquid,0,1
The core of Jupiter is thought to be that of A molten ball of hot metal,The core of Jupiter is solid,The core of Jupiter is liquid,1,1
Progress towards the finishing of the building was like that of A stalagmite forming in a cave,The building's progress is very slow,The building's progress is very fast,0,1
Progress towards the finishing of the building was like that of An adrenalized bolt of lightning,The building's progress is very slow,The building's progress is very fast,1,1
The chemical process has the complexity of A kid mixing vinegar and baking soda,The chemical process is very simple,The chemical process is very complex,0,1
The chemical process has the complexity of A procedure for shutting down a nuclear power plant,The chemical process is very simple,The chemical process is very complex,1,1
The core of the cake reminded him of A hot stack of pancakes,The center was gooey and warm,The center was dry and crumbly,0,1
The core of the cake reminded him of Biscotti,The center was gooey and warm,The center was dry and crumbly,1,1
The progress he made on his software program was like Watching a quarterback run a touchdown to the end zone,The progress was quick and satisfying,The progress was clumsy,0,1
The progress he made on his software program was like Watching the quarterback fumble with football repeatedly.,The progress was quick and satisfying,The progress was clumsy,1,1
The chemicals in her shampoo had a scent which reminded her of Her grandmother rubbing liniment on her arthritis knee,The shampoo smelled medicinal,The shampoo smelled delectable,0,1
The chemicals in her shampoo had a scent which reminded her of Her grandmother making apple pie,The shampoo smelled medicinal,The shampoo smelled delectable,1,1
core is very large vlaue,core is large,core is big,0,0
core is trusted value,core is large,core is big,1,0
progress needs a time and must be safe,progress is time consuming,we follow progress,0,0
progress needs a time and time consuming,progress is time consuming,we follow progress,1,0
chemical reaction are very power it was trusted,chemical are valuable,chemical must be reacted,0,0
chemical reaction are very power and safety,chemical are valuable,chemical must be reacted,1,0
The core is a Koi pond,The core is small,The core is large,0,1
The core is a an infinity pool,The core is small,The core is large,1,1
The progress the man made was a sand box,The progress was small,The progress was large,0,1
The progress the man made was The sahara desert,The progress was small,The progress was large,1,1
The chemical compound made is a child's tantrum,The chemical compound is basically bad,The chemical compound is profoundly bad,0,1
The chemical compound made is The devil's work,The chemical compound is basically bad,The chemical compound is profoundly bad,1,1
The earth is as round as a ball,The earth is round,The earth is not round,0,1
The earth is as round as a house,The earth is round,The earth is not round,1,1
Tim's hands were rough as sandpaper,Tim had hands that were not soft,Tim had soft hands,0,1
Tim's hands were slick like ice,Tim had hands that were not soft,Tim had soft hands,1,1
The house was tall as a tree,The house was tall,the house is big and tall,0,1
The house was tall as a mountain,The house was tall,the house is big and tall,1,1
That car has the horsepower of a plane,The car has a high horsepower,The car has a low horsepower,0,1
That car has the horsepower of a lawnmower,The car has a high horsepower,The car has a low horsepower,1,1
That car has the acceleration of a rocket,The car accelerates very fast,The car accelerates very slow,0,1
That car has the acceleration of a snail,The car accelerates very fast,The car accelerates very slow,1,1
That car has the top speed of a turtle,The car's top speed is very slow,The car's top speed is very fast,0,1
That car has the top speed of a cheetah,The car's top speed is very slow,The car's top speed is very fast,1,1
His nurse had the bedside manner of a scolding and judgmental ex-wife.,His nurse had a hostile bedside manner.,His nurse had a kind bedside manner.,0,1
His nurse had the bedside manner of a forgiving and understanding girlfriend.,His nurse had a hostile bedside manner.,His nurse had a kind bedside manner.,1,1
That 400-pound man needs another donut as much as a baby needs scotch whiskey.,That 400-pound man does not need another donut.,That 400-pound man needs another donut.,0,1
That 400-pound man needs another donut as much as a diabetic needs insulin.,That 400-pound man does not need another donut.,That 400-pound man needs another donut.,1,1
The drunk was as happy about leaving the strip club as a five year-old going home from Chuck E. Cheese's for a nap.,The drunk was not happy about leaving the strip club.,The drunk was happy about leaving the strip club.,0,1
The drunk was as happy about leaving the strip club as a freshly minted 21 year-old going into one.,The drunk was not happy about leaving the strip club.,The drunk was happy about leaving the strip club.,1,1
The jewel had the value of a first world nation's economy,Thr jewel was very valuable,The jewel was worthless,0,1
The jewel had the value of a penny run through a pressing machine,Thr jewel was very valuable,The jewel was worthless,1,1
"Her hair smelled burnt as an oven set to ""self-cleaning mode""",Her hair smelled very burnt,Her hair had no burnt smell at all,0,1
Her hair smelled burnt as a frozen fish stick,Her hair smelled very burnt,Her hair had no burnt smell at all,1,1
The dog's fur was as smooth as broken glass on sandpaper,The dog's fur was rough,The dog's fur was smooth,0,1
The dog's fur was as smooth as a drink of a freshly opened Coca Cola,The dog's fur was rough,The dog's fur was smooth,1,1
Good judge of human Good judge of human,Good judge of human,Good judge of human,0,0
Good judge of human Good judge of human,Good judge of human,Good judge of human,1,0
The blanket is fresh bread,The blanket is warm and comforting.,The blanket is insufficient.,0,1
The blanket is a thin slice of cheese,The blanket is warm and comforting.,The blanket is insufficient.,1,1
The book is a Thanksgiving dinner,The book is fulfilling and good,The book is simple and boring.,0,1
The book is a a bowl of gruel.,The book is fulfilling and good,The book is simple and boring.,1,1
The dog is a locked door.,That is a good guard dog.,That dog would let anyone inside.,0,1
The dog is an open tent.,That is a good guard dog.,That dog would let anyone inside.,1,1
The uncut diamond has the value of A lump of coal,The uncut diamond is not valuable,The uncut diamond is very valuable,0,1
The uncut diamond has the value of A palace fit for a king,The uncut diamond is not valuable,The uncut diamond is very valuable,1,1
The role of the prince has the importance of A cheap paperweight on a calm day,The prince's role is insignificant,The prince's role is important,0,1
The role of the prince has the importance of The wind to a sailboat,The prince's role is insignificant,The prince's role is important,1,1
The opossum has the keen eyes of A bat with a bad eyeglass prescription,The opossum has bad eyesight,The opossum has very good eyesight,0,1
The opossum has the keen eyes of An eagle with binoculars,The opossum has bad eyesight,The opossum has very good eyesight,1,1
The diamond was as valuable as amazon stock,it was worth a lot,it was almost worthless,0,1
The diamond was as valuable as a dirty penny,it was worth a lot,it was almost worthless,1,1
The socks were as clean as folded laundry,they were neat,they were gross,0,1
The socks were as clean as mud in a storm,they were neat,they were gross,1,1
The bear was as hungry as a racoon in the dumpster,it was starving,it was full,0,1
The bear was as hungry as a father after thanksgiving dinner,it was starving,it was full,1,1
She is as flexible as a stick,She is not flexible at all,She is incredibly flexible,0,1
She is as flexible as a rubberband,She is not flexible at all,She is incredibly flexible,1,1
That boy is as strong as a team of horses,That boy is unusually strong.,That boy is very weak,0,1
That boy is as strong as his baby sister,That boy is unusually strong.,That boy is very weak,1,1
The teacher is as mean as the grinch,The teacher is rotten,The teacher is sweet,0,1
The teacher is as mean as a newborn,The teacher is rotten,The teacher is sweet,1,1
The task took the effort of taking a nap,The task took little effort,The task took a lot of effort,0,1
The task took the effort of solving an algebra equation,The task took little effort,The task took a lot of effort,1,1
The wood was as hard as a sponge,The wood was not hard,The wood was hard,0,1
The wood was as hard as a steel beam,The wood was not hard,The wood was hard,1,1
He had been a pilot for a minute and a half,He had been a pilot for a short time,He had been a pilot for a long time,0,1
He had been a pilot for a millennium,He had been a pilot for a short time,He had been a pilot for a long time,1,1
The effort was gnat like,The effort was small,The effort was large,0,1
The effort was mule like,The effort was small,The effort was large,1,1
It's size was nearly shrew like.,It was small,It was big,0,1
It's size was nearly Elephant seal like,It was small,It was big,1,1
The wood was pudding,The wood was soft,The wood was hard,0,1
The wood was peanut brittle,The wood was soft,The wood was hard,1,1
The robot had the emotional depth of a a kiddie pool,The robot was emotionally shallow,The robot was very deep emotionally,0,1
The robot had the emotional depth of a the ocean,The robot was emotionally shallow,The robot was very deep emotionally,1,1
The robot's head was as shiny as a coin,The robot's head was very shiny,The robot's head was very matte and anot shiny,0,1
The robot's head was as shiny as leather,The robot's head was very shiny,The robot's head was very matte and anot shiny,1,1
The game was as unfair as a blind person playing darts,The game was super unfair,the game was very fair,0,1
The game was as unfair as a 6 sided-die,The game was super unfair,the game was very fair,1,1
The stars in the sky are sparkling gems,The stars are beacons of achievements that one wants to achieve or obtain,The stars signify the vastness of space and insignificance of one being,0,1
The stars in the sky are pinpoints,The stars are beacons of achievements that one wants to achieve or obtain,The stars signify the vastness of space and insignificance of one being,1,1
My spouse's temper is a volcano,"My spouse's temper is ever bubbling, ready to explode",My spouse's temper is almost negligible and not present,0,1
My spouse's temper is a leaking faucet,"My spouse's temper is ever bubbling, ready to explode",My spouse's temper is almost negligible and not present,1,1
The two friends are mimes,The two friends mirror one another actions due to similarity,The two friends never agree on any subject and cannot combine,0,1
The two friends are oil and vinegar,The two friends mirror one another actions due to similarity,The two friends never agree on any subject and cannot combine,1,1
The movie is heart touch The movie is heart touch,The movie is heart touch,The movie is heart touch,0,0
The movie is heart touch The movie is heart touch,The movie is heart touch,The movie is heart touch,1,0
The movie is heart touch The movie is heart touch,The movie is heart touchThe movie is heart touch,The movie is heart touch,0,0
The movie is heart touch The movie is heart touch,The movie is heart touchThe movie is heart touch,The movie is heart touch,1,0
These scissors are about as sharp as a professional chef-grade knife.,The scissors are very sharp.,The scissors are not sharp at all.,0,1
These scissors are about as sharp as a butterknife.,The scissors are very sharp.,The scissors are not sharp at all.,1,1
The man has the work ethic of an successful entrepreneur.,The man is hardworking.,The man is not hardworking.,0,1
The man has the work ethic of a moody teenager.,The man is hardworking.,The man is not hardworking.,1,1
This party is just as much fun as our awesome graduation party.,This party is very fun.,This party is not fun.,0,1
This party is just as much fun as a funeral.,This party is very fun.,This party is not fun.,1,1
The girl treats her dolls like a nurse,The girl handles her dolls with care.,The girl mishandles her dolls.,0,1
The girl treats her dolls like a butcher,The girl handles her dolls with care.,The girl mishandles her dolls.,1,1
The woman's personality is as fun as a birthday cake,The woman has a fun personality.,The woman has a boring personality.,0,1
The woman's personality is as fun as a sack of flour,The woman has a fun personality.,The woman has a boring personality.,1,1
The girl's attitude is as sweet as a strawberry,The girl's attitude is a bit sweet.,The girl's attitude is a bit tart.,0,1
The girl's attitude is as sweet as a kiwi,The girl's attitude is a bit sweet.,The girl's attitude is a bit tart.,1,1
The lady realized the man put as much effort into moving the boxes as Mike Tyson in the '80s,The man put a lot of work into it,The man was barely working,0,1
The lady realized the man put as much effort into moving the boxes as Her when she is floating in the pool,The man put a lot of work into it,The man was barely working,1,1
The size on the jeans was as correct as 2 + 2= 4,The jeans were labeled correctly,The label on the jeans were wrong,0,1
The size on the jeans was as correct as 2 + 2 = 12,The jeans were labeled correctly,The label on the jeans were wrong,1,1
The grade of wood was similar to A Bentley,It was a luxurious wood,It wasn't luxurious wood,0,1
The grade of wood was similar to A Ford fiesta,It was a luxurious wood,It wasn't luxurious wood,1,1
Your words are clear as a tunnel,Your words don't make sense,Your words are senseful,0,1
Your words are clear as sunshine,Your words don't make sense,Your words are senseful,1,1
The day is bright as a hole in the ground,The day is glummy,The day is radiant,0,1
The day is bright as a new lamp,The day is glummy,The day is radiant,1,1
You look as fresh as a baby,You look good,You look bad,0,1
You look as fresh as an old apple,You look good,You look bad,1,1
His jumpshot is on fire,He is making a lot of jumpshots in basketball,He is missing a lot of jumpshots in basketball,0,1
His jumpshot is on ice,He is making a lot of jumpshots in basketball,He is missing a lot of jumpshots in basketball,1,1
His handle game is tight,His basketball dribbling skills are very good,His basketball dribbling skills are not good,0,1
His handle game is loose,His basketball dribbling skills are very good,His basketball dribbling skills are not good,1,1
He's got the legs of a rabbit,His legs are very athletic,His legs are not athletic,0,1
He's got the legs of a old dog,His legs are very athletic,His legs are not athletic,1,1
This place is as cold as a popsicle,It's cold,It's hot,0,1
This place is as cold as a sauna,It's cold,It's hot,1,1
It's dry as a bone,It's dry,It's wet,0,1
It's dry as a puddle,It's dry,It's wet,1,1
You're loyal as a puppy,You're loyal,You're disloyal,0,1
You're loyal as Benedict Arnold,You're loyal,You're disloyal,1,1
Advice is as helpful as a bandage,Advice will only temporarily fix one a problem without real treatment,Advice can open doors and broaden one's horizons,0,1
Advice is as helpful as a college degree,Advice will only temporarily fix one a problem without real treatment,Advice can open doors and broaden one's horizons,1,1
The braces on his teeth were ice,Braces are sensitive to change and not permanent,Braces offer a strength and security for one's mouth,0,1
The braces on his teeth were barbed wire,Braces are sensitive to change and not permanent,Braces offer a strength and security for one's mouth,1,1
Laughter is the soul's music,Laughter is the unadulterated release of one's emotion,Laughing at another's failing can be damaging,0,1
Laughter is the biting sword,Laughter is the unadulterated release of one's emotion,Laughing at another's failing can be damaging,1,1
He had the wit of an imbicile,He had no wit.,He was witty.,0,1
He had the wit of my favorite teacher,He had no wit.,He was witty.,1,1
It was a compromise of brains,There was an agreement.,There was not really an agreement.,0,1
It was a compromise of brawn,There was an agreement.,There was not really an agreement.,1,1
To finish the job took him a nanosecond,He finished quickly.,He finished slowly.,0,1
To finish the job took him an eon,He finished quickly.,He finished slowly.,1,1
The meal was finished to a T,The meal was completely and competently cooked.,The meal was over-cooked.,0,0
The meal was finished to a fault,The meal was completely and competently cooked.,The meal was over-cooked.,1,0
This compromise is a new route,the compromise accomplished new things,the compromise was a re-hash of old agreements,0,1
This compromise is a well-worn road,the compromise accomplished new things,the compromise was a re-hash of old agreements,1,1
The craft was a three-legged dog,The craft steered poorly,The crafted steered exceptionally,0,1
The craft was a water serpent,The craft steered poorly,The crafted steered exceptionally,1,1
Life of full journey Life of full journey,Life of full journey,Life of full journey,0,0
Life of full journey Life of full journey,Life of full journey,Life of full journey,1,0
He could compromise like Atilla the Hun,He could not compromise,He could compromise very well,0,1
He could compromise like the Constitutional Comvention,He could not compromise,He could compromise very well,1,1
The pilot was oriented as well as a funhouse visitor,The pilot was oriented badly,The pilot was oriented well,0,1
The pilot was oriented as well as a surveyor's level,The pilot was oriented badly,The pilot was oriented well,1,1
She was as modest as Lady Godiva,She was not modest,She was modest,0,1
She was as modest as a Southern Belle,She was not modest,She was modest,1,1
The man had the courage of a lion,The man is very brave,The man is very cowardly,0,1
The man had the courage of a mouse,The man is very brave,The man is very cowardly,1,1
The man had the strength of a bear,The man is very strong,The man is pitifully weak,0,1
The man had the strength of a kitten,The man is very strong,The man is pitifully weak,1,1
The man is an earlybird,The man likes to be up early in the morning,The man likes to stay up late at night.,0,1
The man is a nightowl,The man likes to be up early in the morning,The man likes to stay up late at night.,1,1
This Christmas is going to be a super-model's lunch plate at the Golden Corral.,No presents for Christmas.,Many Christmas presents.,0,1
This Christmas is going to be the scales on a leaping lizzard.,No presents for Christmas.,Many Christmas presents.,1,1
He is Brad Pitt.,He is handsome.,He is ugly.,0,1
He is Steve Buscemi,He is handsome.,He is ugly.,1,1
The judge was Solomon reincarnated.,The judge was wise.,The judge was stupid.,0,1
The judge was Wylie Coyote come to life.,The judge was wise.,The judge was stupid.,1,1
That man's as shallow as a puddle,That man is shallow,"That man is deep, and not shallow",0,1
That man's as shallow as a black hole,That man is shallow,"That man is deep, and not shallow",1,1
The judge is as honest as a boy scout,The judge is honest,The judge is dishonest,0,1
The judge is as honest as Pinocchio,The judge is honest,The judge is dishonest,1,1
He's as fast as a bullet,He's very fast,He's very slow,0,1
He's as fast as a blobfish,He's very fast,He's very slow,1,11
This judge has the moral backbone of a chocolate eclaire,This judge is immoral,This judge is staunchly moral,0,1
This judge has the moral backbone of a pope,This judge is immoral,This judge is staunchly moral,1,1
This guy has the strength of ten lions,The guy is strong,The guy is weak,0,1
This guy has the strength of a butterfly,The guy is strong,The guy is weak,1,1
This carpet has the feel of a lamb's behind,This carpet is soft,This carpet is hard,0,1
This carpet has the feel of an armadillo,This carpet is soft,This carpet is hard,1,1
The jury supported judge like An angry lynch mob,The jury did not support the judge,The jury is very much supportive of the judge,0,1
The jury supported judge like A dedicated fan club,The jury did not support the judge,The jury is very much supportive of the judge,1,1
The trance was as unbreakable as A delicate piece of China,The trance is easily broken,The trance is very hard to break,0,1
The trance was as unbreakable as A large granite boulder,The trance is easily broken,The trance is very hard to break,1,1
The lecture has the depth of A swimming pool for an ant,The lecture is shallow and meaningless,The lecture has great depth and meaning,0,1
The lecture has the depth of The deepest well in the world,The lecture is shallow and meaningless,The lecture has great depth and meaning,1,1
She was a trance as deep as a pie crust,She was a shallow trance,She was a deep trance,0,1
She was a trance as deep as a diamond mine,She was a shallow trance,She was a deep trance,1,1
"The judge looked as wise as like the ""What Me Worry"" kid in Mad Magazine",The judge looked stupid,The judge looked wise,0,1
The judge looked as wise as like Solomon,The judge looked stupid,The judge looked wise,1,1
The meal was ready as quick as earning a doctorate in Physics,It took a long time for the meal to be ready.,The meal was ready in a short time.,0,1
The meal was ready as quick as a light wave,It took a long time for the meal to be ready.,The meal was ready in a short time.,1,1
Good judge of human Good judge of human,Good judge of human,Good judge of human,0,0
Good judge of human Good judge of human,Good judge of human,Good judge of human,1,0
He was in a trance as deep as a mermaid in the Mariana Trench,He was in a very deep trance,The trance he was in was shallow,0,1
He was in a trance as deep as a valley girl's personality,He was in a very deep trance,The trance he was in was shallow,1,1
The dog was as fat as a plesiosaur after Thanksgiving dinner,The dog was fat,The dog wasn't fat,0,1
The dog was as fat as a PlayStation 3 after the third revision,The dog was fat,The dog wasn't fat,1,1
The flower had the vibrance of a rainbow in HDR,The flower was very vibrant,The flower lacked vibrancy,0,1
The flower had the vibrance of a printer with low ink,The flower was very vibrant,The flower lacked vibrancy,1,1
The tracing of the image was as believable as 20/20 news reports,The tracing was as good as a drawing,The tracing was clearly a copy,0,1
The tracing of the image was as believable as Stories in The Enquirer,The tracing was as good as a drawing,The tracing was clearly a copy,1,1
The puddle in the middle of the street was as shallow as The water in a water bottle cap,There was not a lot of water in the puddle,The puddle was full of water,0,1
The puddle in the middle of the street was as shallow as The water in a bathtub,There was not a lot of water in the puddle,The puddle was full of water,1,1
The judge had the appearance of A TV judge,The judge looked professional,The judge was too casual,0,1
The judge had the appearance of A pie eating contest judge,The judge looked professional,The judge was too casual,1,1
You are my sunshine,that this person is a real-life sunshine.,the person is happy and bright – just like the sun.,0,0
You are my good vibes,that this person is a real-life sunshine.,the person is happy and bright – just like the sun.,1,0
The world’s a stage,people’s lives are full of drama because so many things happen.,so it’s comparing the world to a theatre stage.,0,0
The world’s a theatre,people’s lives are full of drama because so many things happen.,so it’s comparing the world to a theatre stage.,1,0
Bill is an early bird,the person is waking up in the earlier.,the person who wakes up early morning.,0,0
Bill is an flamingo,the person is waking up in the earlier.,the person who wakes up early morning.,1,0
"Magic words or words of power are words that are believed to have specific supernatural effects. They are often nonsense phrases used in fantasy fiction or ... Metaphor Magic involves metaphoric modelling, a type of symbolic modeling that uses visual metaphors. The process invites the client to explore a question or topic of interest by constructing a metaphoric landscape with objects.",A magic number is a numeric literal that is used in the code without any explanation of its meaning. The use of magic numbers makes programs less readable and hence more difficult to maintain and update.,"Magic literals are the ones used without a clear explanation of their meaning. Presence of such literals harms source code readability, decreases its modularity, and encourages code duplication. Identifying magic literals is not straightforward.",0,0
"Magic words or words of power are words that are believed to have specific supernatural effects. They are often nonsense phrases used in fantasy fiction or ... “The Big Bang.” ... “All the world's a stage, and all the men and women merely players. ... “Art washes away from the soul the dust of everyday life.” ... “I am the good shepherd, … and I lay down my life for the sheep.” ... “All religions, arts and sciences are branches of the same tree.” ... “Chaos is a friend of mine.”",A magic number is a numeric literal that is used in the code without any explanation of its meaning. The use of magic numbers makes programs less readable and hence more difficult to maintain and update.,"Magic literals are the ones used without a clear explanation of their meaning. Presence of such literals harms source code readability, decreases its modularity, and encourages code duplication. Identifying magic literals is not straightforward.",1,0
"Like a Duck to Water Meaning: natural and easy, not needing instruction · Free as a Bird Meaning: easy freedom or escape without entanglements The Caged Bird Metaphor is a common Animal Metaphor whereby a character—often a woman or girl in an oppressive environment—is associated with a caged bird, symbolizing their sense of confinement and longing for freedom.","The poem describes the opposing experiences between two birds: one bird is able to live in nature as it pleases, while a different caged bird suffers in ...",I Know Why The Caged Bird Sings. by Maya Angelou. A free bird leaps on the back. Of the wind and floats downstream. Till the current ends and dips his wing,0,0
"Like a Duck to Water Meaning: natural and easy, not needing instruction · Free as a Bird Meaning: easy freedom or escape without entanglements In this poem, “Hope,” an abstract word meaning desire or trust, is described metaphorically as having the characteristics of a “bird,” a tangible, living creature. The word “bird” is rich with connotation. Birds are often viewed as free and self-reliant, or as symbols of spirituality.","The poem describes the opposing experiences between two birds: one bird is able to live in nature as it pleases, while a different caged bird suffers in ...",I Know Why The Caged Bird Sings. by Maya Angelou. A free bird leaps on the back. Of the wind and floats downstream. Till the current ends and dips his wing,1,0
"In music theory, a phrase (Greek: φράση) is a unit of musical meter that has a complete musical sense of its own, built from figures, motifs, and cells, and combining to form melodies, periods and larger sections. The general theory of metaphor is given by characterizing such cross- domain mappings. And in the process, everyday abstract concepts like time, states, change, causation, and pur pose also turn out to be metaphorical. ... The word metaphor has come to mean a cross-domain mapping in the conceptual system.",Literal interpretation asserts that a biblical text is to be interpreted according to the “plain meaning” conveyed by its grammatical construction and historical context. The literal meaning is held to correspond to the intention of the authors.,"Literal language is used to mean exactly what is written. For example: “It was raining a lot, so I rode the bus.” In this example of literal language, the writer means to explain exactly what is written: that he or she chose to ride the bus because of the heavy rain. ... It was raining cats and dogs, so I rode the bus.",0,0
"In music theory, a phrase (Greek: φράση) is a unit of musical meter that has a complete musical sense of its own, built from figures, motifs, and cells, and combining to form melodies, periods and larger sections. Theories, public and private, provide ways of making sense and, ideally, guiding our actions in useful ways. ... As Lakoff and Johnson suggest, metaphors can help us describe those things that are hard to apprehend, including what many call “theory.”",Literal interpretation asserts that a biblical text is to be interpreted according to the “plain meaning” conveyed by its grammatical construction and historical context. The literal meaning is held to correspond to the intention of the authors.,"Literal language is used to mean exactly what is written. For example: “It was raining a lot, so I rode the bus.” In this example of literal language, the writer means to explain exactly what is written: that he or she chose to ride the bus because of the heavy rain. ... It was raining cats and dogs, so I rode the bus.",1,0
The boy has the strength of a cardboard house,The boy is weak,The boy is strong,0,1
The boy has the strength of a redwood,The boy is weak,The boy is strong,1,1
The dog has the obedience of a wild animal,The dog is disobedient,The dog is obedient,0,1
The dog has the obedience of a butler,The dog is disobedient,The dog is obedient,1,1
Her voice has the smoothness of sandpaper,Her voice is not smooth,Her voice is smooth,0,1
Her voice has the smoothness of birdsong,Her voice is not smooth,Her voice is smooth,1,1
Life of full journey Life of full journey,Life of full journey,Life of full journey,0,0
Life of full journey Life of full journey,Life of full journey,Life of full journey,1,0
That bird is as graceful as a ballet dancer,That bird is very graceful,That bird is very clumsy,0,1
That bird is as graceful as a drunken penguin,That bird is very graceful,That bird is very clumsy,1,1
That magic show was as captivating as a first love,The magic show kept attention very easily,"The magic show was not good, and made you want to leave",0,1
That magic show was as captivating as an out of tune opera,The magic show kept attention very easily,"The magic show was not good, and made you want to leave",1,1
That helmet provides as much protection as a brick wall,The helmet provides a lot of protection,The helmet does not protect you very well,0,1
That helmet provides as much protection as a potato,The helmet provides a lot of protection,The helmet does not protect you very well,1,1
This toast is Charcoal,The toast is burnt and hard,The toast is smooth and golden,0,1
This toast is Butter,The toast is burnt and hard,The toast is smooth and golden,1,1
The road has the smoothness of Ice cream,The road is smooth,The road is very rough,0,1
The road has the smoothness of Cheap whiskey,The road is smooth,The road is very rough,1,1
The tree has the height of A sky scraper,The tree is very tall,The tree is very short,0,1
The tree has the height of A blade of grass,The tree is very tall,The tree is very short,1,1
The words out of the girl's mouth had the credibility of a dictionary,The girl was very credible.,The girl made up a lot of things.,0,1
The words out of the girl's mouth had the credibility of the Onion,The girl was very credible.,The girl made up a lot of things.,1,1
The bath water had the temperature of lava,The bath water was really hot.,The bath water was really cold.,0,1
The bath water had the temperature of a Fudgesicle,The bath water was really hot.,The bath water was really cold.,1,1
The boy's room had the neatness of a smash cake for a kid's first birthday party,The boy's room was totally messy.,The boy's room was very neat.,0,1
The boy's room had the neatness of a soldier's uniform,The boy's room was totally messy.,The boy's room was very neat.,1,1
The dog was as loud as a horn,The dog was barking loud,The dog was barking softly,0,1
The dog was as loud as a mouse,The dog was barking loud,The dog was barking softly,1,1
THe shoes were as big as a yacht,The shoes were large,The shoes were miniscule,0,1
THe shoes were as big as a thimble,The shoes were large,The shoes were miniscule,1,1
The turkey was as dry as cotton,The turkey was really dry,The turkey was really moist,0,1
The turkey was as dry as the ocean,The turkey was really dry,The turkey was really moist,1,1
The magic was as amazing as a day at Disneyworld,it was great,it was lame,0,1
The magic was as amazing as a trip to the post office,it was great,it was lame,1,1
The book as as interesting as a heavyweight fight,it was exciting,it was boring,0,1
The book as as interesting as a chemistry test,it was exciting,it was boring,1,1
The show was as captivating as a new videogame,it was amazing,it was lame,0,1
The show was as captivating as a wet sock,it was amazing,it was lame,1,1
I'm feeling blue,feeling worried,feeling low,0,0
I'm feeling sad,feeling worried,feeling low,1,0
She's going through a rollercoaster of emotions,Our emotions can't take a ride on a rollercoaster.,the person's going through a lot of different moods.,0,0
She's going through a rollercoaster of feelings,Our emotions can't take a ride on a rollercoaster.,the person's going through a lot of different moods.,1,0
I think he's about to fade off to sleep,"fortunately, none of us fade into thin air when we fall asleep.",someone has drifted into a state of slumber.,0,0
I think he's about to fade off to asleep,"fortunately, none of us fade into thin air when we fall asleep.",someone has drifted into a state of slumber.,1,0
The chef ran the kitchen like a world-class symphony conductor,"The chef ran the kitchen in careful, orderly manner","The chef ran the kitchen in a chaotic, bumbling way",0,1
The chef ran the kitchen like the Keystone Kops on meth,"The chef ran the kitchen in careful, orderly manner","The chef ran the kitchen in a chaotic, bumbling way",1,1
The baseball pitcher threw the ball with laser-like speed and accuracy,The baseball pitcher threw the ball with accuracy and speed,The baseball pitcher could barely find home plate,0,1
The baseball pitcher threw the ball like a blind gorilla,The baseball pitcher threw the ball with accuracy and speed,The baseball pitcher could barely find home plate,1,1
The actor's performance made one forget this was a movie,The actor's performance was realistic,The actor's performance was boring and unconvincing,0,1
The actor's performance was as wooden as an insurance salesman reciting the exclusionary clause of a life insurance policy,The actor's performance was realistic,The actor's performance was boring and unconvincing,1,1
Selecting a material to build a farm fence is like selecting a winter jacket.,Should be strong enough to withstand the weather conditions and also should not harm the animals .The jacket safeguards us from bad weather while not making it unconfortable to wear it.,We need to get professional help trying to do things we have no knowledge of.,0,1
Selecting a material to build a farm fence is like going to the doctor for medical care.,Should be strong enough to withstand the weather conditions and also should not harm the animals .The jacket safeguards us from bad weather while not making it unconfortable to wear it.,We need to get professional help trying to do things we have no knowledge of.,1,1
Hope is like a solid gold bar,It never decays and never dies unless influenced by others ( like applying heat to gold bars changes it,Hope dies if the surrounding environment does not support it. We need to constantly remind ourselves and feed the feeling of hope to keep it alive.,0,1
Hope is nutrition to a growing plant.,It never decays and never dies unless influenced by others ( like applying heat to gold bars changes it,Hope dies if the surrounding environment does not support it. We need to constantly remind ourselves and feed the feeling of hope to keep it alive.,1,1
Our mind is like flowing water,"Our mind also acts in the same way, so should control our mind to stay focused.",A bird sees so many things from a higher elevation and needs to pick the ones that are most interesting. So our mind should be free and controlled to see the big picture that helps us to be creative.,0,1
Our mind is like a bird in flight.,"Our mind also acts in the same way, so should control our mind to stay focused.",A bird sees so many things from a higher elevation and needs to pick the ones that are most interesting. So our mind should be free and controlled to see the big picture that helps us to be creative.,1,1
The fabric was as smooth as a washboard,The fabric was not smooth,The fabric was smooth,0,1
The fabric was as smooth as a bowling alley,The fabric was not smooth,The fabric was smooth,1,1
She felt as happy as a recent widow,She did not feel happy,She felt happy,0,1
She felt as happy as Bozo the Clown,She did not feel happy,She felt happy,1,1
The music sounded like nails on a blackboard,The music sounded bad,The music sounded good,0,1
The music sounded like the Top of the Pops,The music sounded bad,The music sounded good,1,1
The bananas were as yellow as The glistening sun,The bananas were a brilliant yellow,"The bananas were a dull, sickly yellow",0,1
The bananas were as yellow as someone's teeth who had yet to be brushed for a week,The bananas were a brilliant yellow,"The bananas were a dull, sickly yellow",1,1
Her cough was an airhorn,her cough was very loud,her cough was very quiet,0,1
Her cough was a wisper,her cough was very loud,her cough was very quiet,1,1
She had the speed of an African cheetah in its prime,She was very very fast,She was extremely slow,0,1
She had the speed of the dmv,She was very very fast,She was extremely slow,1,1
This material is as thick as stone,The material is thick,The material is thin,0,1
