startphrase,ending1,ending2,labels,valid,qid,index
The car had the speed of five pumas,The car was very slow.,The car was very fast.,1,1,X412,977.0
It was fresh like a spring day.,It was very fresh.,It wasn't fresh at all.,0,1,X413,980.0
It was fresh like a rotten tomato.,It was very fresh.,It wasn't fresh at all.,1,1,X413,981.0
She liked people as much as she liked paying taxes.,She didn't like people.,She loved people.,0,1,X414,984.0
She liked people as much as she liked having fun.,She didn't like people.,She loved people.,1,1,X414,985.0
The woman's self-esteem bruised as easily as an avocado,The woman's self esteem easily bruised.,The woman's self esteem was very sturdy.,0,1,X415,986.0
The woman's self-esteem bruised as easily as a coconut,The woman's self esteem easily bruised.,The woman's self esteem was very sturdy.,1,1,X415,987.0
The woman's ideas were as outdated as a brown banana,The woman's ideas were stale.,The woman's ideas were novel.,0,1,X416,988.0
The woman's ideas were as outdated as a news headline,The woman's ideas were stale.,The woman's ideas were novel.,1,1,X416,989.0
The business plan's timeline was a highway,The business plan's timeline was very quick.,The business plan's timeline was very slow.,0,1,X417,990.0
The business plan's timeline was a local road,The business plan's timeline was very quick.,The business plan's timeline was very slow.,1,1,X417,991.0
Throwing away a salad was as logical as Taking out the trash,The salad was no good,The salad was good food and should have been eaten,0,1,X418,994.0
Throwing away a salad was as logical as Not putting your wallet in your purse before taking out the trash,The salad was no good,The salad was good food and should have been eaten,1,1,X418,995.0
The seal on the Tupperware was as reliable as Taking the train in the winter,The seal almost always worked.,Sometimes it wouldn't behave as expected.,0,1,X419,996.0
The seal on the Tupperware was as reliable as Driving a car in the winter,The seal almost always worked.,Sometimes it wouldn't behave as expected.,1,1,X419,997.0
This album is like the soundtrack to a PowerPoint presentation on the color beige.,This album is dull and uninteresting.,This album is stimulating and exciting.,0,1,X420,998.0
This album is like the soundtrack to an acid-tinged rollercoaster ride through paradise.,This album is dull and uninteresting.,This album is stimulating and exciting.,1,1,X420,999.0
The date was as enjoyable as watching a slowly rotting bowl of fruit.,The date was miserable and dull.,The date was sweet and enjoyable.,0,1,X421,1000.0
The date was as enjoyable as watching an army of kittens frolicking in a meadow.,The date was miserable and dull.,The date was sweet and enjoyable.,1,1,X421,1001.0
The movie critic was about as cultured as the contents of a petri dish.,The movie critic was uncultured.,The movie critic was cultured.,0,1,X422,1002.0
The movie critic was about as cultured as a diamond-studded countess spouting Shakespeare quotes.,The movie critic was uncultured.,The movie critic was cultured.,1,1,X422,1003.0
Her status was as up in the air as the stock market,it was not sure,it was definite,0,1,X423,1004.0
Her status was as up in the air as the sun rising,it was not sure,it was definite,1,1,X423,1005.0
His work as as bad as the US invasion of Iraq,it was bad,it was great,0,1,X424,1006.0
His work as as bad as A cancer charity,it was bad,it was great,1,1,X424,1007.0
His shirt was as ugly as a headless raccoon,it was hideous,it was pretty,0,1,X425,1008.0
His shirt was as ugly as a flower in may,it was hideous,it was pretty,1,1,X425,1009.0
That woman is as tall as a person on stilts,That woman is very tall,That woman is very short,0,1,X426,1010.0
That woman is as tall as a person in a hole,That woman is very tall,That woman is very short,1,1,X426,1011.0
"That man is as rich as a sweet, chocolate cake",That man is very wealthy,That man is very poor,0,1,X427,1012.0
That man is as rich as a homeless person,That man is very wealthy,That man is very poor,1,1,X427,1013.0
That woman works as fast as ants on a strawberry,That woman works quickly,That woman works slowly,0,1,X428,1014.0
That woman works as fast as a sloth,That woman works quickly,That woman works slowly,1,1,X428,1015.0
His status was as high as a bathroom attendant,His status was not high,His status was high,0,1,X429,1016.0
His status was as high as the King of England,His status was not high,His status was high,1,1,X429,1017.0
He worked as hard as napping night watchman,He did not work hard,He worked hard,0,1,X430,1018.0
He worked as hard as a miner on speed,He did not work hard,He worked hard,1,1,X430,1019.0
The book had the depth of a nursery rhyme,The book was shallow,The book was deep,0,1,X431,1020.0
The book had the depth of a a Shakespeare play,The book was shallow,The book was deep,1,1,X431,1021.0
The jacket was as warm as a cup of coffee,The jacket kept me warm,The jacket made me cold,0,1,X432,1022.0
The jacket was as warm as a winter night,The jacket kept me warm,The jacket made me cold,1,1,X432,1023.0
The floor was as slippery as a wet river rock,The floor was slippery,The floor had grip,0,1,X433,1024.0
The floor was as slippery as a layer of sandpaper,The floor was slippery,The floor had grip,1,1,X433,1025.0
The woman was as old as the Roman Empire,The woman was really old,The woman was younger,0,1,X434,1026.0
The woman was as old as the internet,The woman was really old,The woman was younger,1,1,X434,1027.0
He held the status of an emperor,He was a high status individual,He was a low status individual,0,1,X435,1030.0
He held the status of an exiled peasant,He was a high status individual,He was a low status individual,1,1,X435,1031.0
The work day passed in the blink of an eye,The day went by quickly,The day went by slowly,0,1,X436,1032.0
The work day took an ice age to pass,The day went by quickly,The day went by slowly,1,1,X436,1033.0
"Given its popularity, the baker's fudge could be mistaken for gold bricks",The fudge was popular,The fudge was unpopular,0,1,X437,1034.0
"Given its popularity, the baker's fudge could be mistaken for mud",The fudge was popular,The fudge was unpopular,1,1,X437,1035.0
It was shiny like silverware.,It was very shiny.,It was dull.,0,1,X438,1036.0
It was shiny like a calcium deposit.,It was very shiny.,It was dull.,1,1,X438,1037.0
His life was a smooth sail.,His life was easy.,His life was hard.,0,1,X439,1038.0
His life was a rollercoaster.,His life was easy.,His life was hard.,1,1,X439,1039.0
He was worldly like a airplane.,He was very worldly.,He was very sheltered.,0,1,X440,1040.0
He was worldly like a small town.,He was very worldly.,He was very sheltered.,1,1,X440,1041.0
The bike was as squeaky as a mouse,The bike was really noisy,The bike was noiseless,0,1,X441,1042.0
The bike was as squeaky as a sleeping baby,The bike was really noisy,The bike was noiseless,1,1,X441,1043.0
The vacuum sucked as much as a black hole,The vacuum sucked really well,The vacuum sucked poorly,0,1,X442,1044.0
The vacuum sucked as much as a fan,The vacuum sucked really well,The vacuum sucked poorly,1,1,X442,1045.0
The headphones were as loud as a concert,The headphones were really loud,The headphones were really quiet,0,1,X443,1046.0
The headphones were as loud as a church mouse,The headphones were really loud,The headphones were really quiet,1,1,X443,1047.0
She looks like fresh meat,Her appearance is youthful and attractive.,Her appearance is withered and unappealing.,0,1,X444,1048.0
She looks like fermented tofu,Her appearance is youthful and attractive.,Her appearance is withered and unappealing.,1,1,X444,1049.0
Her personality is like an open book,She has a simple mind and her action is predictable,She has a complicated mind and sometimes she is unpredictable.,0,1,X445,1050.0
Her personality is like a closed book,She has a simple mind and her action is predictable,She has a complicated mind and sometimes she is unpredictable.,1,1,X445,1051.0
Our relationship is a bonfire,We have so much passion for each other and we can see a future together.,"We don't have feelings for each other anymore. Our love for each other is dead. We don't want to be together anymore but none of us want to break up first, so we just let things automatically end.",0,1,X446,1052.0
Our relationship is a withered flower,We have so much passion for each other and we can see a future together.,"We don't have feelings for each other anymore. Our love for each other is dead. We don't want to be together anymore but none of us want to break up first, so we just let things automatically end.",1,1,X446,1053.0
The man learned that sprinting in life was like Reading a book while watching a movie.,The man learned sprinting was the same as missing all the important parts.,The man learned that sprinting was like making sure you get the good parts.,0,1,X447,1054.0
The man learned that sprinting in life was like Taking notes while watching a movie.,The man learned sprinting was the same as missing all the important parts.,The man learned that sprinting was like making sure you get the good parts.,1,1,X447,1055.0
The man was as excited for his voyage as A little boy laying out his outfit for the first day of school,The man was anticipating the voyage greatly.,Man found the voyage tiring.,0,1,X448,1056.0
The man was as excited for his voyage as An 18 year old boy getting up for his 100th day of his senior year.,The man was anticipating the voyage greatly.,Man found the voyage tiring.,1,1,X448,1057.0
The price of the goods reminded the man of Paying per pound for fine chocolates,"The man found the price of the goods were expensive, but worth it.",The man found the price of the goods annoying and and something to avoid.,0,1,X449,1058.0
The price of the goods reminded the man of Paying a toll at a toll booth.,"The man found the price of the goods were expensive, but worth it.",The man found the price of the goods annoying and and something to avoid.,1,1,X449,1059.0
I need another car like a hunter needs camo,I need another car,I do not need another car,0,1,X450,1060.0
I need another car like a bird needs shoes,I need another car,I do not need another car,1,1,X450,1061.0
The book is as useful as an outdoor seatbelt,The book is not helpful,The book is helpful,0,1,X451,1062.0
The book is as useful as a paperclip on McGyver,The book is not helpful,The book is helpful,1,1,X451,1063.0
The answer is as clear as HD windex,The answer is obvious,The answer is obscure,0,1,X452,1064.0
The answer is as clear as asset allocations,The answer is obvious,The answer is obscure,1,1,X452,1065.0
I can sprint like a cheetah,I can sprint fast,I sprint slowly,0,1,X453,1066.0
I can sprint like a tortoise,I can sprint fast,I sprint slowly,1,1,X453,1067.0
These goods are as valuable as treasure,These goods are valuable,These goods are not valuable,0,1,X454,1068.0
These goods are as valuable as trash,These goods are valuable,These goods are not valuable,1,1,X454,1069.0
Our voyage was as long as a lifetime,Our voyage was long,Our voyage was short,0,1,X455,1070.0
Our voyage was as long as the blink of an eye,Our voyage was long,Our voyage was short,1,1,X455,1071.0
She liked drama like a highschool cheerleader,She loved drama.,She avoided drama.,0,1,X456,1072.0
She liked drama like a secluded monk,She loved drama.,She avoided drama.,1,1,X456,1073.0
The book was as confusing as advanced physics,The book was very confusing.,The book wasn't confusing at all.,0,1,X457,1074.0
The book was as confusing as Cat in the Hat,The book was very confusing.,The book wasn't confusing at all.,1,1,X457,1075.0
He curses like a drunken sailor,He cursed a lot.,He didn't curse.,0,1,X458,1076.0
He curses like an infant,He cursed a lot.,He didn't curse.,1,1,X458,1077.0
The sprinter ran as fast as a falling snowflake,The sprinter ran slowly,The sprinter ran fast,0,1,X459,1080.0
The sprinter ran as fast as an x-ray,The sprinter ran slowly,The sprinter ran fast,1,1,X459,1081.0
The voyage turned out to be as enjoyable as a visit to the dentist,The voyage turned out not to be enjoyable,The voyage turned out to be enjoyable,0,1,X460,1082.0
The voyage turned out to be as enjoyable as a visit to Disney World,The voyage turned out not to be enjoyable,The voyage turned out to be enjoyable,1,1,X460,1083.0
The haul was as valuable as a mud hut,The haul was not valuable,The haul was valuable,0,1,X461,1084.0
The haul was as valuable as a house made of gold,The haul was not valuable,The haul was valuable,1,1,X461,1085.0
"What happened, you look like a zombie","What happened, you don't look so good","What happened, you look great",0,1,X462,1086.0
"What happened, you look like a lottery winner","What happened, you don't look so good","What happened, you look great",1,1,X462,1087.0
That waters as clean as a muddy river,That water is really dirty,That water is very clean and pure,0,1,X463,1088.0
That waters as clean as a mountain spring,That water is really dirty,That water is very clean and pure,1,1,X463,1089.0
That movie was as scary as a near death experience,That movie was terrifying,That movie wasn't scary at all,0,1,X464,1090.0
That movie was as scary as a kids cartoon,That movie was terrifying,That movie wasn't scary at all,1,1,X464,1091.0
He was as thin as a rod.,He was very thin.,He was not thin.,0,1,X465,1092.0
He was as thin as a refrigerator.,He was very thin.,He was not thin.,1,1,X465,1093.0
He was heavy like a weight.,He was very heavy.,He was light.,0,1,X466,1094.0
He was heavy like a feather.,He was very heavy.,He was light.,1,1,X466,1095.0
He was noble like a stead.,He was very loyal.,He wasn't loyal at all.,0,1,X467,1096.0
He was noble like a jester.,He was very loyal.,He wasn't loyal at all.,1,1,X467,1097.0
"In the kitchen, she's like a wizard.",She's an excellent cook.,She's a terrible cook.,0,1,X468,1098.0
"In the kitchen, she's like a sinking ship.",She's an excellent cook.,She's a terrible cook.,1,1,X468,1099.0
The house is a veritable showplace.,The house is appealing.,The house is unappealing.,0,1,X469,1100.0
The house is a veritable dump.,The house is appealing.,The house is unappealing.,1,1,X469,1101.0
He has the intellect of a Mensa member.,He is intelligent.,He is dumb.,0,1,X470,1102.0
He has the intellect of a country bumpkin.,He is intelligent.,He is dumb.,1,1,X470,1103.0
The story plot is a headless chicken.,is confusing.,is straight-forward.,0,1,X471,1104.0
The story plot is a bird dog.,is confusing.,is straight-forward.,1,1,X471,1105.0
The wrestler is Rubbermaid.,The wrestler is resilient.,The wrestler is breakable.,0,1,X472,1106.0
The wrestler is Styrofoam.,The wrestler is resilient.,The wrestler is breakable.,1,1,X472,1107.0
He is a kiddie pool.,He is gross.,His is clean.,0,1,X473,1108.0
He is a pool of bleach.,He is gross.,His is clean.,1,1,X473,1109.0
The car has the speed of an old sloth.,The car is very slow.,The car is very fast.,0,1,X474,1110.0
The car has the speed of prisoner on the run.,The car is very slow.,The car is very fast.,1,1,X474,1111.0
The man has the self-control of a toddler with candy.,The man has little self-control.,The man has much self-control.,0,1,X475,1112.0
The man has the self-control of a priest on Sunday.,The man has little self-control.,The man has much self-control.,1,1,X475,1113.0
The chef had a heart as warm as a cup of cocoa.,The chef was warm-hearted.,The chef was cold-hearted.,0,1,X476,1114.0
The chef had a heart as warm a milkshake.,The chef was warm-hearted.,The chef was cold-hearted.,1,1,X476,1115.0
That woman has the mental acuity of a Brick,That woman is dumb,That woman js really smart,0,1,X477,1116.0
That woman has the mental acuity of a Computer,That woman is dumb,That woman js really smart,1,1,X477,1117.0
The man smells like Dirty socks,The man smells bad,The man smells good,0,1,X478,1118.0
The man smells like An ocean breeze,The man smells bad,The man smells good,1,1,X478,1119.0
The child is as lighthearted as a Balloon,The child is very lighthearted,The child is very seriois,0,1,X479,1120.0
The child is as lighthearted as a Funeral,The child is very lighthearted,The child is very seriois,1,1,X479,1121.0
The children were apes on the jungle gym,The children were filled with ceaseless activity,"The children languished at the gym, without motion",0,1,X480,1122.0
The children were sloths on the jungle gym,The children were filled with ceaseless activity,"The children languished at the gym, without motion",1,1,X480,1123.0
On the highway my Father was a rogue,On the highway my Father followed his own set of ideals and restrictions,On the highway my Father followed rules to a tee,0,1,X481,1124.0
On the highway my Father was a monk,On the highway my Father followed his own set of ideals and restrictions,On the highway my Father followed rules to a tee,1,1,X481,1125.0
The ocean was a boiling pot,The ocean was attempting to boil over with volativity,The ocean was placid and serene,0,1,X482,1126.0
The ocean was a blank page,The ocean was attempting to boil over with volativity,The ocean was placid and serene,1,1,X482,1127.0
My friend slept as much as a dog.,My friend slept a lot.,My friend didn't sleep a lot.,0,1,X483,1128.0
My friend slept as much as a dolphin.,My friend slept a lot.,My friend didn't sleep a lot.,1,1,X483,1129.0
The entrepreneur had the financial resources of the biblical Solomon.,The entrepreneur was financially rich.,The entrepreneur was financially poor.,0,1,X484,1130.0
The entrepreneur had the financial resources of Mozart at the end of his life.,The entrepreneur was financially rich.,The entrepreneur was financially poor.,1,1,X484,1131.0
The father had as much power in his household as the Pope.,The father had absolute power in his household.,The father barely had any power in his household.,0,1,X485,1132.0
The father had as much power in his household as a medieval serf.,The father had absolute power in his household.,The father barely had any power in his household.,1,1,X485,1133.0
These batteries last as long as one firecracker,The batteries dont last very long,The batteries last a long time,0,1,X486,1136.0
These batteries last as long as the tribulation,The batteries dont last very long,The batteries last a long time,1,1,X486,1137.0
The air here is a healthy as a vegans tofu breakfast,The air quality is good,The air quality is poor,0,1,X487,1138.0
The air here is a healthy as eating a TUMS for breakfast,The air quality is good,The air quality is poor,1,1,X487,1139.0
The band sounded as good as having Thanksgiving dinner at Taco Bell,The band does not play well,The band plays well,0,1,X488,1140.0
The band sounded as good as beating the train on Monday morning,The band does not play well,The band plays well,1,1,X488,1141.0
The project was as hard as a science test,it was complicated,it was simple,0,1,X489,1142.0
The project was as hard as melted ice cream,it was complicated,it was simple,1,1,X489,1143.0
The taco was as spicy as hot sauce,it had a kick to it,it was very mild,0,1,X490,1144.0
The taco was as spicy as oat meal,it had a kick to it,it was very mild,1,1,X490,1145.0
The book was as heavy as a widow's heart,it was hard to carry,it was light,0,1,X491,1146.0
The book was as heavy as a sheet of paper,it was hard to carry,it was light,1,1,X491,1147.0
The teacher was a lion.,The teacher is loud and in charge.,The teacher is quiet and unassuming.,0,1,X492,1148.0
The teacher was a mouse.,The teacher is loud and in charge.,The teacher is quiet and unassuming.,1,1,X492,1149.0
The two friends were a lock and a key.,The two friends worked well together.,The two friends were opposites/had opposing energies.,0,1,X493,1150.0
The two friends were fire and ice.,The two friends worked well together.,The two friends were opposites/had opposing energies.,1,1,X493,1151.0
"The family awaited the meal, which was a crown jewel.","The meal was wonderful and delicious, a main course to be desired.",The meal was not at all appetizing.,0,1,X494,1152.0
"The family awaited the meal, which was a lump of coal.","The meal was wonderful and delicious, a main course to be desired.",The meal was not at all appetizing.,1,1,X494,1153.0
My sprained ankle pain is being shot at five hundred times,My sprained ankle is unbearable,My sprained ankle is in very little pain,0,1,X495,1154.0
My sprained ankle pain is a feather falling on it and tickling it,My sprained ankle is unbearable,My sprained ankle is in very little pain,1,1,X495,1155.0
My intuition is shooting a bullet and expecting the wind to catch it,My intuition is nonexistent,My intuition is spot on,0,1,X496,1156.0
My intuition is punching someone squarely in the face,My intuition is nonexistent,My intuition is spot on,1,1,X496,1157.0
My ant bite has the itch of a thousand spears stabbing me,"My ant bite itch is really, really itchy and hurts",My ant bite isn't that itchy,0,1,X497,1158.0
My ant bite has the itch of a crab losing at poker against me,"My ant bite itch is really, really itchy and hurts",My ant bite isn't that itchy,1,1,X497,1159.0
Desire is like a maniac,Desire can lead a person to do insane things if not controlled.,We need desire to empower us to succeed in life like having beauty products empower us by giving us that  unique look and the feel better factor.,0,1,X498,1160.0
Desire is like beauty products.,Desire can lead a person to do insane things if not controlled.,We need desire to empower us to succeed in life like having beauty products empower us by giving us that  unique look and the feel better factor.,1,1,X498,1161.0
Time is like opportunities you have.,Once lost can never be recovered.,We should change our perspective and stop seeing time spent as time wasted because they are valuable experience ( an asset ),0,1,X499,1162.0
Time is like our life experiences.,Once lost can never be recovered.,We should change our perspective and stop seeing time spent as time wasted because they are valuable experience ( an asset ),1,1,X499,1163.0
Love is like having a pet,It's wonderful and happy when you have it and painful when lost.,Love is never boring and never unhappy end when the show ends.,0,1,X500,1164.0
Love is like a stand-up comedy show.,It's wonderful and happy when you have it and painful when lost.,Love is never boring and never unhappy end when the show ends.,1,1,X500,1165.0
I wanted that gift as much as cancer,I did not want that gift,I wanted that gift,0,1,X501,1166.0
I wanted that gift as much as a million bucks,I did not want that gift,I wanted that gift,1,1,X501,1167.0
Time passed as fast as drying paint,Time passed slowly,Time passed quickly,0,1,X502,1168.0
Time passed as fast as a race car,Time passed slowly,Time passed quickly,1,1,X502,1169.0
Their system is as modern as the abacus,Their system is not modern,Their system is modern,0,1,X503,1170.0
Their system is as modern as a 512G phone,Their system is not modern,Their system is modern,1,1,X503,1171.0
That news was like a thick milkshake.,That news was hard to swallow.,That news was easy to swallow.,0,1,X504,1172.0
That news was like having some tuna.,That news was hard to swallow.,That news was easy to swallow.,1,1,X504,1173.0
This test will be like moving a handful of talc.,This test will easy to pass.,This test will be really hard to pass.,0,1,X505,1174.0
This test will be penitrating graphene.,This test will easy to pass.,This test will be really hard to pass.,1,1,X505,1175.0
Her speech came off like someone taking a breath.,Her speech seemed quite effortless.,Her speech seemed a bit unnatural.,0,1,X506,1176.0
Her speech came off like making spandex.,Her speech seemed quite effortless.,Her speech seemed a bit unnatural.,1,1,X506,1177.0
It was dry like the desert.,It was very dry.,It wasn't dry.,0,1,X507,1180.0
It was dry like the ocean.,It was very dry.,It wasn't dry.,1,1,X507,1181.0
Time moves as quick as rocket ship,Time moves really fast,Time does not move fast at all,0,1,X508,1186.0
Time moves as quick as a broken bicycle,Time moves really fast,Time does not move fast at all,1,1,X508,1187.0
That is about as modern as last century,That's old and not modern at all,That's new and cutting edge modern,0,1,X509,1188.0
That is about as modern as tomorrow,That's old and not modern at all,That's new and cutting edge modern,1,1,X509,1189.0
I desire that as much as I desire winning the lotto,I really desire that,I have no desire for that,0,1,X510,1190.0
I desire that as much as I desire a car crash,I really desire that,I have no desire for that,1,1,X510,1191.0
A moustache is a lip mask.,A moustache hides the upper lip.,A moustache draws attention to the upper lip.,0,1,X511,1192.0
A moustache is a lip decoration.,A moustache hides the upper lip.,A moustache draws attention to the upper lip.,1,1,X511,1193.0
A spiderweb is a well-built home.,Spiders live comfortably in their webs.,A spider's prey dies in the spiderweb.,0,1,X512,1194.0
A spiderweb is a cemetary.,Spiders live comfortably in their webs.,A spider's prey dies in the spiderweb.,1,1,X512,1195.0
A calculator is a brilliant mathematician.,Calculators perform complicated computations very quickly.,Calculators perform computations effortlessly.,0,1,X513,1196.0
A calculator is a lazy mathematician.,Calculators perform complicated computations very quickly.,Calculators perform computations effortlessly.,1,1,X513,1197.0
The weather is as emotional as a theatrical play.,The weather is lively.,The weather is muted.,0,1,X514,1198.0
The weather is as emotional as a librarian.,The weather is lively.,The weather is muted.,1,1,X514,1199.0
The air is as thick as cheese on a pizza.,The air is humid.,The air is arid.,0,1,X515,1200.0
The air is as thick as tissue paper.,The air is humid.,The air is arid.,1,1,X515,1201.0
The cat had the friendliness of a hungry shark.,The cat was mean.,The cat was welcoming.,0,1,X516,1202.0
The cat had the friendliness of a day at the beach.,The cat was mean.,The cat was welcoming.,1,1,X516,1203.0
The strategy is Like  5 day old trash,The strategy is bad,The strategy is good in an extra way.,0,1,X517,1204.0
The strategy is Whipped cream on coffee,The strategy is bad,The strategy is good in an extra way.,1,1,X517,1205.0
The strawberry tastes like A Dasani water,The strawberry tastes blandly and badly.,The strawberry tastes really good.,0,1,X518,1206.0
The strawberry tastes like A rainbow,The strawberry tastes blandly and badly.,The strawberry tastes really good.,1,1,X518,1207.0
The date was Like being hit by lightning,The date was painfully bad,The date was good.,0,1,X519,1208.0
The date was Like the first sip of coffee,The date was painfully bad,The date was good.,1,1,X519,1209.0
The dog barked as loud as a train,The dog was loud,Thendog was quiet,0,1,X520,1210.0
The dog barked as loud as an ant,The dog was loud,Thendog was quiet,1,1,X520,1211.0
The fishtank was as big as a house,The fishtank was large,The fishtank was small,0,1,X521,1212.0
The fishtank was as big as a pill box,The fishtank was large,The fishtank was small,1,1,X521,1213.0
The flower smelled as good as a skunk,The flower smelled bad,The flower smelled good,0,1,X522,1214.0
The flower smelled as good as a bakery,The flower smelled bad,The flower smelled good,1,1,X522,1215.0
I'm as emotional as a kid seeing Santa.,I'm excited.,I'm screaming and angry.,0,1,X523,1216.0
I'm as emotional as a person who just stepped on a lego.,I'm excited.,I'm screaming and angry.,1,1,X523,1217.0
The clouds are like marshmellows,The clouds are very fluffy and white.,The clouds are very big.,0,1,X524,1218.0
The clouds are as big as a house,The clouds are very fluffy and white.,The clouds are very big.,1,1,X524,1219.0
The woman was as pale as a wall.,The woman was very white.,The woman ate really fast.,0,1,X525,1220.0
The woman ate as fast as a growing boy.,The woman was very white.,The woman ate really fast.,1,1,X525,1221.0
The man had the emotional intelligence of a rock,The man was socially awkward,The man was socially adept,0,1,X526,1222.0
The man had the emotional intelligence of an empath,The man was socially awkward,The man was socially adept,1,1,X526,1223.0
The song had the emotional depth of a nursery rhyme,The song was trite,The song was moving,0,1,X527,1224.0
The song had the emotional depth of a final farewell,The song was trite,The song was moving,1,1,X527,1225.0
The air was like a placid pont,The air was still,The air was frenzied,0,1,X528,1226.0
The air was like a whirling dervish,The air was still,The air was frenzied,1,1,X528,1227.0
The strategy of the enemy was that of A desperate criminal on the run,The enemy's strategy is poor and sporadic,The enemy's strategy is excellent and well planned,0,1,X529,1228.0
The strategy of the enemy was that of A mastermind like a desert fox,The enemy's strategy is poor and sporadic,The enemy's strategy is excellent and well planned,1,1,X529,1229.0
The air in the compartment is like that of A dirty clothes hamper,The air was not fresh and smelly,The air was fresh and clean,0,1,X530,1230.0
The air in the compartment is like that of A morning breeze on the plains,The air was not fresh and smelly,The air was fresh and clean,1,1,X530,1231.0
The emotional level at the game is like that of A boring funeral,The game is boring and unexciting,The game is exciting and action-packed,0,1,X531,1232.0
The emotional level at the game is like that of A constant standing ovation,The game is boring and unexciting,The game is exciting and action-packed,1,1,X531,1233.0
The cat has the energy of a nuclear power plant,The cat is energetic,The cat is not energetic,0,1,X532,1234.0
The cat has the energy of a comatose person,The cat is energetic,The cat is not energetic,1,1,X532,1235.0
The train was as reliable as old faithful.,The train was reliable.,The train was unreliable.,0,1,X533,1236.0
The train was as reliable as a back alley drug addict.,The train was reliable.,The train was unreliable.,1,1,X533,1237.0
The air was as fresh as a spring breeze in the morning.,The air was fresh,The air was stale.,0,1,X534,1238.0
The air was as fresh as a dumpster fire.,The air was fresh,The air was stale.,1,1,X534,1239.0
The feeling in the air is as emotional as a corpse,"The feeling in the air is non existent, there is none.",The feeling in the air is very emotional,0,1,X535,1240.0
The feeling in the air is as emotional as a wedding,"The feeling in the air is non existent, there is none.",The feeling in the air is very emotional,1,1,X535,1241.0
Her strategy was as complicated as a nursery rhyme,Her strategy was not complex or in-depth,Her strategy was very complicated,0,1,X536,1242.0
Her strategy was as complicated as a calculus equation,Her strategy was not complex or in-depth,Her strategy was very complicated,1,1,X536,1243.0
The airplane's leg room is as big as a apartment in Manhattan,The airplane has almost no leg room,The airplane has a ton of leg room,0,1,X537,1244.0
The airplane's leg room is as big as the sea,The airplane has almost no leg room,The airplane has a ton of leg room,1,1,X537,1245.0
This toy is as action packed as Spider man before he was bitten,The toy is not action packed,The toy is action packed,0,1,X538,1248.0
This toy is as action packed as The avengers when theyre all together,The toy is not action packed,The toy is action packed,1,1,X538,1249.0
That car is as fast as A sloth climbing a tree,The car is slow,The car is fast,0,1,X539,1250.0
That car is as fast as My dog when they hear the treats open,The car is slow,The car is fast,1,1,X539,1251.0
The water is as cold as A bucket of frozen ice,The water is very cold,The water is warm,0,1,X540,1252.0
The water is as cold as A sauna in the summer,The water is very cold,The water is warm,1,1,X540,1253.0
The article was as clear as day,The article was easy to understand,The article was hard to understand,0,1,X541,1254.0
The article was as clear as night,The article was easy to understand,The article was hard to understand,1,1,X541,1255.0
The farmer was as busy as a bee,The farmer was busy,The farmer wasn't busy,0,1,X542,1256.0
The farmer was as busy as a sloth,The farmer was busy,The farmer wasn't busy,1,1,X542,1257.0
The dog was as a lazy as a bee,The dog was busy,The dog was lazy,0,1,X543,1258.0
The dog was as a lazy as a sloth,The dog was busy,The dog was lazy,1,1,X543,1259.0
Sleeping over at his house is like spending a night at the Waldorf Astoria.,He has very nice accommodations.,He has below average accommodations.,0,1,X544,1260.0
Sleeping over at his house is like spending a night at the Motel 6.,He has very nice accommodations.,He has below average accommodations.,1,1,X544,1261.0
"When she waits on you, she'll make you feel like the Sultan of Brunei.Ask him tio",She provides good service.,She provides bad service.,0,1,X545,1262.0
"When she waits on you, she'll make you feel like she's doing you a favor.",She provides good service.,She provides bad service.,1,1,X545,1263.0
"Ask him to complete a task, and he moves like a bullet train.",He works quickly.,He works slowly.,0,1,X546,1264.0
"Ask him to complete a task, and he moves like molasses.",He works quickly.,He works slowly.,1,1,X546,1265.0
The new toy was as safe as a sharp razor,The new toy was not safe,The new toy was safe,0,1,X547,1266.0
The new toy was as safe as a pillow,The new toy was not safe,The new toy was safe,1,1,X547,1267.0
The formula was as secret as Coca Cola's recipe,The formula was secret,The formula was not secret,0,1,X548,1268.0
The formula was as secret as the times table,The formula was secret,The formula was not secret,1,1,X548,1269.0
The new dish tasted like aquarium water,The new dish tasted bad,The new dish tasted good,0,1,X549,1270.0
The new dish tasted like a five-star meal,The new dish tasted bad,The new dish tasted good,1,1,X549,1271.0
The girlfriend's anger was a shaken bottle of soda,"The girlfriend's anger would explode if opened; a matter of when, not if",The girlfriend's anger was dormant and impossible to awake,0,1,X550,1272.0
The girlfriend's anger was a corpse,"The girlfriend's anger would explode if opened; a matter of when, not if",The girlfriend's anger was dormant and impossible to awake,1,1,X550,1273.0
The soldier on the battlefield was a roaring lion,The solider showed no fear and inspired his fellow troops,The solider showed fear and cowardice,0,1,X551,1274.0
The soldier on the battlefield was a newborn puppy,The solider showed no fear and inspired his fellow troops,The solider showed fear and cowardice,1,1,X551,1275.0
The student was summoned in front of the class as a scapegoat,The student was being used as an example of wrongdoing and as being a problem,The student was being used as an example of standard to uphold and achieve,0,1,X552,1276.0
The student was summoned in front of the class as a role model,The student was being used as an example of wrongdoing and as being a problem,The student was being used as an example of standard to uphold and achieve,1,1,X552,1277.0
This computer is No more than a toy,The computer is mediocre,The computer is is very well designed and of high quality,0,1,X553,1280.0
