HITId,AssignmentId,startphrase,ending1,ending2,labels,valid,qid
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,3A1PQ49WVIRBMUTMZ83NE3UO4BT1H1,These chips are salty as the tears of a fangirl when her favorite band breaks up,It's very salty,It has no salt,0,1,349
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,3A1PQ49WVIRBMUTMZ83NE3UO4BT1H1,These chips are salty as potassium chloride,It's very salty,It has no salt,1,1,349
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,39LNWE0K4V6RRMV47EVSPH00FL6UIN,The tree canopy has the shadow of a totem pole.,The tree canopy does not provide shade.,The tree canopy is shady.,0,1,350
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,39LNWE0K4V6RRMV47EVSPH00FL6UIN,The tree canopy has the shadow of an eclipse.,The tree canopy does not provide shade.,The tree canopy is shady.,1,1,350
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,35USIKEBNSQY3CGU8CAHEJI1YXMN6W,Completing the homework assignment was like scaling Everest,Completing the homework assignment was hard.,Completing the homework assignment was easy.,0,1,354
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,35USIKEBNSQY3CGU8CAHEJI1YXMN6W,Completing the homework assignment was like wading in a kiddie pool,Completing the homework assignment was hard.,Completing the homework assignment was easy.,1,1,354
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,39K0FND3AIPT8W7XMOCTH9VNPTVMAK,The burrito is has the length of a whale,The burrito is long,The burrito is short,0,1,357
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,39K0FND3AIPT8W7XMOCTH9VNPTVMAK,The burrito is has the length of a lighter,The burrito is long,The burrito is short,1,1,357
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,3ERET4BTVNJKDPXP96LD61SZU4K9KL,She is as elegant as a swan,she is graceful,she is clumsy,0,1,359
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,3ERET4BTVNJKDPXP96LD61SZU4K9KL,She is as elegant as a drunk dog,she is graceful,she is clumsy,1,1,359
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,3ERET4BTVNJKDPXP96LD61SZU4K9KL,she is as embarrassed as a kid that forgot homework,she is bashful,she is proud,0,1,360
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,3ERET4BTVNJKDPXP96LD61SZU4K9KL,she is as embarrassed as a kid that got an A,she is bashful,she is proud,1,1,360
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,3VW6495TLKAUYVUELXEKEQ011YFYY7,His personality was as sparkling as A burned out lightbulb,He is a dull person,He us colorgul and explosive.,0,1,364
3IZPORCT1FJWSFU970D0WAGDAJ8RHA,3VW6495TLKAUYVUELXEKEQ011YFYY7,His personality was as sparkling as JULY 4TH FIREWORKS,He is a dull person,He us colorgul and explosive.,1,1,364
3ZVPAMTJWNDISJZYNUVIBA4CVJVRGB,33NF62TLXKC9J1AYVICQVV62Q9XJKR,The You Tube tutorial was as informative as a blank sheet of paper.,The You Tube tutorial wasn't at all informative.,The You Tube tutorial was extremely informative.,0,1,369
3ZVPAMTJWNDISJZYNUVIBA4CVJVRGB,33NF62TLXKC9J1AYVICQVV62Q9XJKR,The You Tube tutorial was as informative as a graduate level physics class.,The You Tube tutorial wasn't at all informative.,The You Tube tutorial was extremely informative.,1,1,369
3ZVPAMTJWNDISJZYNUVIBA4CVJVRGB,3CP1TO84PUB6VMRNHA2SUP13R7L528,The girl was as laidback as a picnic at the park,The girl was very laidback.,The girl was super uptight.,0,1,376
3ZVPAMTJWNDISJZYNUVIBA4CVJVRGB,3CP1TO84PUB6VMRNHA2SUP13R7L528,The girl was as laidback as a black tie wedding,The girl was very laidback.,The girl was super uptight.,1,1,376
3ZVPAMTJWNDISJZYNUVIBA4CVJVRGB,3KRVW3HTZOVX8STR3OYK29PTBX5MSF,The croissant has the delicacy of a Sumo wrestler.,The croissant is tough.,The croissant is light and airy.,0,1,379
3ZVPAMTJWNDISJZYNUVIBA4CVJVRGB,3KRVW3HTZOVX8STR3OYK29PTBX5MSF,The croissant has the delicacy of a fly antennae.,The croissant is tough.,The croissant is light and airy.,1,1,379
3ZVPAMTJWNDISJZYNUVIBA4CVJVRGB,3N2BF7Y2VR48IJFBSUMLYVIR2MNHMO,He was as frightened as a deer in headlights,he was scared,he wasn't scared,0,1,383
3ZVPAMTJWNDISJZYNUVIBA4CVJVRGB,3N2BF7Y2VR48IJFBSUMLYVIR2MNHMO,He was as frightened as a bear in the woods,he was scared,he wasn't scared,1,1,383
3ZVPAMTJWNDISJZYNUVIBA4CVJVRGB,3ZWFC4W1UVHF131X2CU2H90OS6RFRI,The puzzle was an insurmountable mountain.,The puzzle was very difficult.,The puzzle was easy.,0,1,388
3ZVPAMTJWNDISJZYNUVIBA4CVJVRGB,3ZWFC4W1UVHF131X2CU2H90OS6RFRI,The puzzle was a short walk downhill.,The puzzle was very difficult.,The puzzle was easy.,1,1,388
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,3TAYZSBPLMI71OPYT6F0N0BV5RUS2Y,The defense's argument had the simplicity of a Byzantine mosaic.,The argument was complicated.,The argument was very simple.,0,1,392
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,3TAYZSBPLMI71OPYT6F0N0BV5RUS2Y,The defense's argument had the simplicity of a nursery rhyme.,The argument was complicated.,The argument was very simple.,1,1,392
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,3TAYZSBPLMI71OPYT6F0N0BV5RUS2Y,The pilot landed with the elegance of a dancing elephant.,The pilot landed roughly.,The pilot landed smoothly.,0,1,394
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,3TAYZSBPLMI71OPYT6F0N0BV5RUS2Y,The pilot landed with the elegance of a royal swan.,The pilot landed roughly.,The pilot landed smoothly.,1,1,394
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,33NF62TLXKC9J1AYVICQVV62Q8AJK2,In his heart he felt the burning fires of separation,He felt passionate,He felt sad,0,1,395
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,33NF62TLXKC9J1AYVICQVV62Q8AJK2,In his heart he felt the hallow depths of cave,He felt passionate,He felt sad,1,1,395
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,33NF62TLXKC9J1AYVICQVV62Q8AJK2,It was as easy as leading a horse to water,It was relatively easy,It was not easy,0,1,396
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,33NF62TLXKC9J1AYVICQVV62Q8AJK2,It was as easy as herding cats into a swimming pool,It was relatively easy,It was not easy,1,1,396
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,3OE22WJIGJY48KJNKM01YJRM6U2QUZ,The movie had the budget of a gold mine.,The movie was very well-funded.,The movie had practically no funding at all.,0,1,400
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,3OE22WJIGJY48KJNKM01YJRM6U2QUZ,The movie had the budget of a shoestring.,The movie was very well-funded.,The movie had practically no funding at all.,1,1,400
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,3CCZ6YKWR8THV6CM2JH74C9HXEN59U,The glass is as strong as an oak tree,the glass is sturdy,the glass is weak,0,1,402
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,3CCZ6YKWR8THV6CM2JH74C9HXEN59U,The glass is as strong as tissue paper,the glass is sturdy,the glass is weak,1,1,402
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,32SCWG5HIIEY6XS7ORN9I8NWYCNP6U,The sculptor's work was as creative as buttered bread,The sculptor's work was really overdone.,The sculptor's work was very innovative.,0,1,406
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,32SCWG5HIIEY6XS7ORN9I8NWYCNP6U,The sculptor's work was as creative as sea urchin guacamole tacos,The sculptor's work was really overdone.,The sculptor's work was very innovative.,1,1,406
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,38BQUHLA9XAIA01YW7HBI4FSE7KOM0,Our internet speed is as fast as a tiger,Our internet speed is very fast,Our internet speed is very slow,0,1,409
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,38BQUHLA9XAIA01YW7HBI4FSE7KOM0,Our internet speed is as fast as a snail,Our internet speed is very fast,Our internet speed is very slow,1,1,409
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,3I3WADAZ9REK2TGS480P1246SIP5OY,The clone had the identicality of two files in a computer after hitting copy/paste,The clone is identical,The clone isn't identical,0,1,411
3O2Y2UIUCQ4QRFQ8MQG3SDIMZC1KFC,3I3WADAZ9REK2TGS480P1246SIP5OY,The clone had the identicality of two half-siblings born decades apart,The clone is identical,The clone isn't identical,1,1,411
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,352YTHGROWNSETQ5MQMPC11RGUCH41,The classroom was like a freezer,The classroom was really cold.,The classroom was really hot.,0,1,415
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,352YTHGROWNSETQ5MQMPC11RGUCH41,The classroom was like an oven,The classroom was really cold.,The classroom was really hot.,1,1,415
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,33IZTU6J82B824SVHV0TDQ5RI1ASXQ,The band plays like a giraffe calf.,The band plays like clumsy beginners.,The band plays with great precision.,0,1,418
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,33IZTU6J82B824SVHV0TDQ5RI1ASXQ,The band plays like a neurosurgeon.,The band plays like clumsy beginners.,The band plays with great precision.,1,1,418
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,3WQQ9FUS6B4J6HALY12672EYN4R8B9,The politician's values are as sincere as that complement you just got from the used car salesperson.,The values are insincere.,The values change position often and quickly.,0,1,420
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,3WQQ9FUS6B4J6HALY12672EYN4R8B9,The politician's values are as firmly held a tumbleweed in a storm.,The values are insincere.,The values change position often and quickly.,1,1,420
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,3WAKVUDHUXQU22E8ONRVYSAR1417U9,His values are like the tides,His values are constantly changing,His values are set and predictable,0,1,426
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,3WAKVUDHUXQU22E8ONRVYSAR1417U9,His values are like the sun rising in the east and setting in the west,His values are constantly changing,His values are set and predictable,1,1,426
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,3WAKVUDHUXQU22E8ONRVYSAR1417U9,This cartoon is as violent as Normandy,The cartoon is violent,The cartoon is innocent and unoffending,0,1,427
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,3WAKVUDHUXQU22E8ONRVYSAR1417U9,This cartoon is as violent as a kindergarten play,The cartoon is violent,The cartoon is innocent and unoffending,1,1,427
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,3LRKMWOKB6R420BCOY98JT8YSC0Z2S,She was loud like a cat.,She was very loud.,She was very quiet.,0,1,428
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,3LRKMWOKB6R420BCOY98JT8YSC0Z2S,She was loud like a sloth.,She was very loud.,She was very quiet.,1,1,428
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,3LRKMWOKB6R420BCOY98JT8YSC0Z2S,They were as close as politicians.,The weren't close at all.,They were very close.,0,1,430
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,3LRKMWOKB6R420BCOY98JT8YSC0Z2S,They were as close as churchgoers.,The weren't close at all.,They were very close.,1,1,430
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,3PH3VY7DJM7QEG9J2IYF70ONWK9ZWQ,Her style was Harvard,Her style was advanced,Her style was underdeveloped,0,1,436
32FESTC2NH0XRZBAP2U4QU6H4Q7UC8,3PH3VY7DJM7QEG9J2IYF70ONWK9ZWQ,Her style was Kindergarten,Her style was advanced,Her style was underdeveloped,1,1,436
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3EA3QWIZ4J5CR9GF795IKLEYW61ITK,This book is as riveting as watching grass grow,The book is boring and uneventful,The book is over stimulating,0,1,438
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3EA3QWIZ4J5CR9GF795IKLEYW61ITK,This book is as riveting as watching a circus,The book is boring and uneventful,The book is over stimulating,1,1,438
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3L4D84MIL02IHB9QPX9TI3QAYR1HJR,The image had the beauty of an angel.,The image was beautiful.,The image was hideous.,0,1,443
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3L4D84MIL02IHB9QPX9TI3QAYR1HJR,The image had the beauty of a garbage can.,The image was beautiful.,The image was hideous.,1,1,443
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3L4D84MIL02IHB9QPX9TI3QAYR1HJR,The dinner tasted like bliss.,The dinner tasted good.,The dinner tasted horrible.,0,1,444
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3L4D84MIL02IHB9QPX9TI3QAYR1HJR,The dinner tasted like death.,The dinner tasted good.,The dinner tasted horrible.,1,1,444
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,37XITHEISXJ8YRHNBA4193FLVH9CRQ,Her knowledge was as vast as the universe,She had much knowledge,She had little knowledge,0,1,450
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,37XITHEISXJ8YRHNBA4193FLVH9CRQ,Her knowledge was as vast as a broom closet,She had much knowledge,She had little knowledge,1,1,450
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,37XITHEISXJ8YRHNBA4193FLVH9CRQ,Her mind was as clear as a foggy marsh,Her mind was confused,Her mind was sharp,0,1,451
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,37XITHEISXJ8YRHNBA4193FLVH9CRQ,Her mind was as clear as a sunny day in May,Her mind was confused,Her mind was sharp,1,1,451
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3SNLUL3WO5XTHN3ASHS5HXSSWO4UL3,The classroom was a firestorm,The classroom was in chaos.,The classroom was orderly.,0,1,452
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3SNLUL3WO5XTHN3ASHS5HXSSWO4UL3,The classroom was a military training,The classroom was in chaos.,The classroom was orderly.,1,1,452
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3SNLUL3WO5XTHN3ASHS5HXSSWO4UL3,"After the woman talked to him, the man's ego was a pancake",The man's ego shrank.,The man's ego grew.,0,1,454
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3SNLUL3WO5XTHN3ASHS5HXSSWO4UL3,"After the woman talked to him, the man's ego was a balloon",The man's ego shrank.,The man's ego grew.,1,1,454
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3FE7TXL1LJXVO8AL12QVS0WUN38Q26,She had a butt like two bulldogs fighting in a burlap sack,Her butt was fat and round,Her butt was flat and uninteresting,0,1,455
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3FE7TXL1LJXVO8AL12QVS0WUN38Q26,She had a butt like a stack of office paper,Her butt was fat and round,Her butt was flat and uninteresting,1,1,455
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3FE7TXL1LJXVO8AL12QVS0WUN38Q26,Watching that TV show was like going to the dentist,Watching the TV show was boring and painful,Watching the TV show was so good it was an almost otherworldly experience,0,1,456
3LOJFQ4BOXPTTVCCVKLD4DF1NZLKD1,3FE7TXL1LJXVO8AL12QVS0WUN38Q26,Watching that TV show was like sitting in on a Ted talk by God himself,Watching the TV show was boring and painful,Watching the TV show was so good it was an almost otherworldly experience,1,1,456
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3MYYFCXHJ4HEEXVU2K47R1PQ1U9G4B,The air was as fresh as a flower,The air smelled fresh.,The air smelled horrible.,0,1,467
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3MYYFCXHJ4HEEXVU2K47R1PQ1U9G4B,The air was as fresh as a landfill,The air smelled fresh.,The air smelled horrible.,1,1,467
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3U088ZLJVL3TCV3TYOLN11L1E61W0S,you are as bright as the night,You are dumb,You are smart,0,1,471
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3U088ZLJVL3TCV3TYOLN11L1E61W0S,you are as bright a star,You are dumb,You are smart,1,1,471
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,336YQZE83WOW2QVGRSLC9YF1XC25MZ,The dress fits as well as a condom,The dress fits well.,The dress fits terribly.,0,1,474
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,336YQZE83WOW2QVGRSLC9YF1XC25MZ,The dress fits as well as sweatpants,The dress fits well.,The dress fits terribly.,1,1,474
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3WS1NTTKEZMR19HY8ZBNXDZ1J9HF0V,The air in the town often has the fragrance of An open sewer,The air in the town smelled bad,The air in the town smelled good,0,1,475
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3WS1NTTKEZMR19HY8ZBNXDZ1J9HF0V,The air in the town often has the fragrance of A field of flowers,The air in the town smelled bad,The air in the town smelled good,1,1,475
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3WS1NTTKEZMR19HY8ZBNXDZ1J9HF0V,The oil inventory in the store rang of A struggling business,The oil inventory was sparse,The oil inventory was plentiful,0,1,476
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3WS1NTTKEZMR19HY8ZBNXDZ1J9HF0V,The oil inventory in the store rang of A business in the land of plenty,The oil inventory was sparse,The oil inventory was plentiful,1,1,476
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3WS1NTTKEZMR19HY8ZBNXDZ1J9HF0V,The portrayal of the historic figure in the play was As fake as a three-dollar bill,The portrayal of the historic figure is phony,The portrayal of the historic figure is well done,0,1,477
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3WS1NTTKEZMR19HY8ZBNXDZ1J9HF0V,The portrayal of the historic figure in the play was As solid as a brick wall,The portrayal of the historic figure is phony,The portrayal of the historic figure is well done,1,1,477
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3ZR9AIQJUCJH3TK9OIF4692AUKQ04C,It has the lifespan of a Jurupa Oak tree clone,It lives for a long time,It doesn't have long to live,0,1,478
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3ZR9AIQJUCJH3TK9OIF4692AUKQ04C,It has the lifespan of a drunkard on a busy highway,It lives for a long time,It doesn't have long to live,1,1,478
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3ZR9AIQJUCJH3TK9OIF4692AUKQ04C,The shampoo has the moisturizing power of a lotion made by Poseidon,It moisturizes very well,It doesn't moisturize well,0,1,479
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3ZR9AIQJUCJH3TK9OIF4692AUKQ04C,The shampoo has the moisturizing power of a desert horned lizard,It moisturizes very well,It doesn't moisturize well,1,1,479
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3ZR9AIQJUCJH3TK9OIF4692AUKQ04C,The goat had the drowsiness of a sloth after downing a bottle of melatonin,The goat was very drowsy,The goat was wide awake and alert,0,1,480
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3ZR9AIQJUCJH3TK9OIF4692AUKQ04C,The goat had the drowsiness of a robber during a home invasion,The goat was very drowsy,The goat was wide awake and alert,1,1,480
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3DHE4R9OCXL4BJG7Y6LJYMSSHJVG23,Her hair was her armor,Her hair made her feel confident.,Her hair made her feel insecure.,0,1,481
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3DHE4R9OCXL4BJG7Y6LJYMSSHJVG23,Her hair was her Achilles heel.,Her hair made her feel confident.,Her hair made her feel insecure.,1,1,481
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3DHE4R9OCXL4BJG7Y6LJYMSSHJVG23,The roadtrip was an all out assault.,The roadtrip was extremely stressful,The roadtrip was relaxing.,0,1,483
3OJX0UFJ0ZHVT147DIKDO459Y54U9R,3DHE4R9OCXL4BJG7Y6LJYMSSHJVG23,The roadtrip was a massage on wheels.,The roadtrip was extremely stressful,The roadtrip was relaxing.,1,1,483
307FVKVSYRPSYKMZJFVBX4G942T473,37U1UTWH9WW6MORAUYOW7HJ25QIR8T,The man had the presence of a tower,The man was noticeable and had lots of presence.,"The man was unnoticed, and lacked presence.",0,1,489
307FVKVSYRPSYKMZJFVBX4G942T473,37U1UTWH9WW6MORAUYOW7HJ25QIR8T,The man had the presence of a mouse,The man was noticeable and had lots of presence.,"The man was unnoticed, and lacked presence.",1,1,489
307FVKVSYRPSYKMZJFVBX4G942T473,3IX2EGZR7CTV65NTL2LNW7SGL1JJRC,Her passion for school was a fire,She had a lot of passion for school,She had very little passion for school,0,1,490
307FVKVSYRPSYKMZJFVBX4G942T473,3IX2EGZR7CTV65NTL2LNW7SGL1JJRC,Her passion for school was a drip,She had a lot of passion for school,She had very little passion for school,1,1,490
307FVKVSYRPSYKMZJFVBX4G942T473,3IX2EGZR7CTV65NTL2LNW7SGL1JJRC,The chemical burn was the size of Texas,The burn was big,The burn was tiny,0,1,491
307FVKVSYRPSYKMZJFVBX4G942T473,3IX2EGZR7CTV65NTL2LNW7SGL1JJRC,The chemical burn was the size of a flea,The burn was big,The burn was tiny,1,1,491
307FVKVSYRPSYKMZJFVBX4G942T473,3IX2EGZR7CTV65NTL2LNW7SGL1JJRC,His test questions had the difficulty of string theory,The questions were hard,The questions were easy,0,1,492
307FVKVSYRPSYKMZJFVBX4G942T473,3IX2EGZR7CTV65NTL2LNW7SGL1JJRC,His test questions had the difficulty of the ABC's,The questions were hard,The questions were easy,1,1,492
307FVKVSYRPSYKMZJFVBX4G942T473,3NKQQ8O39ZFAJBFIF0UHYKKNNF2UDN,The movie was as predictable as a hungry baby crying,The movie could be totally predicted.,The movie couldn't be predicted at all.,0,1,493
307FVKVSYRPSYKMZJFVBX4G942T473,3NKQQ8O39ZFAJBFIF0UHYKKNNF2UDN,The movie was as predictable as San Francisco's weather,The movie could be totally predicted.,The movie couldn't be predicted at all.,1,1,493
307FVKVSYRPSYKMZJFVBX4G942T473,3NKQQ8O39ZFAJBFIF0UHYKKNNF2UDN,The girl gets as much attention as a diamond ring,The girl gets showered with attention.,The girl doesn't get any attention at all.,0,1,494
307FVKVSYRPSYKMZJFVBX4G942T473,3NKQQ8O39ZFAJBFIF0UHYKKNNF2UDN,The girl gets as much attention as a paper bag,The girl gets showered with attention.,The girl doesn't get any attention at all.,1,1,494
307FVKVSYRPSYKMZJFVBX4G942T473,3NKQQ8O39ZFAJBFIF0UHYKKNNF2UDN,The girl's friends were as flaky as pie crust,The girl's friends were unreliable.,The girl's friends were totally reliable.,0,1,495
307FVKVSYRPSYKMZJFVBX4G942T473,3NKQQ8O39ZFAJBFIF0UHYKKNNF2UDN,The girl's friends were as flaky as a bar of iron,The girl's friends were unreliable.,The girl's friends were totally reliable.,1,1,495
307FVKVSYRPSYKMZJFVBX4G942T473,3QRYMNZ7FZR45AR64PIAPTAFI6ENTQ,The meeting was an ant colony of ideas.,There were a lot of ideas being shared at the meeting.,The meeting had a total lack of ideas.,0,1,497
307FVKVSYRPSYKMZJFVBX4G942T473,3QRYMNZ7FZR45AR64PIAPTAFI6ENTQ,The meeting was a cold desert of ideas.,There were a lot of ideas being shared at the meeting.,The meeting had a total lack of ideas.,1,1,497
307FVKVSYRPSYKMZJFVBX4G942T473,3PM8NZGV8ZQWPODIPRBOIQQQ0C8QXG,He had the graciousness of a king at court.,He was very gracious.,He was not very gracious.,0,1,499
307FVKVSYRPSYKMZJFVBX4G942T473,3PM8NZGV8ZQWPODIPRBOIQQQ0C8QXG,He had the graciousness of a jester at court.,He was very gracious.,He was not very gracious.,1,1,499
307FVKVSYRPSYKMZJFVBX4G942T473,3PM8NZGV8ZQWPODIPRBOIQQQ0C8QXG,Their marriage had the passion of a starving artist.,Their marriage is very passionate.,Their marriage is not very passionate.,0,1,500
307FVKVSYRPSYKMZJFVBX4G942T473,3PM8NZGV8ZQWPODIPRBOIQQQ0C8QXG,Their marriage had the passion of sleeping tortoise.,Their marriage is very passionate.,Their marriage is not very passionate.,1,1,500
307FVKVSYRPSYKMZJFVBX4G942T473,3PM8NZGV8ZQWPODIPRBOIQQQ0C8QXG,Our relationship was a leap from an airplane.,The relationship was exciting but frightening.,The relationship was peaceful.,0,1,501
307FVKVSYRPSYKMZJFVBX4G942T473,3PM8NZGV8ZQWPODIPRBOIQQQ0C8QXG,Our relationship was a nap in the woods.,The relationship was exciting but frightening.,The relationship was peaceful.,1,1,501
307FVKVSYRPSYKMZJFVBX4G942T473,3EICBYG6456R03YA35VS7CTUL0NCJ6,the house was as beautiful as a painting,the house was pretty,the house was ugly,0,1,507
307FVKVSYRPSYKMZJFVBX4G942T473,3EICBYG6456R03YA35VS7CTUL0NCJ6,the house was as beautiful as a sick bear,the house was pretty,the house was ugly,1,1,507
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,3AAPLD8UCDRCVE5V1RNXK9DJWTMTH2,The boy's tongue was as sharp as a scalpel.,The boy's speech was incisive.,The boy's speech was dull.,0,1,510
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,3AAPLD8UCDRCVE5V1RNXK9DJWTMTH2,The boy's tongue was as sharp as beach ball.,The boy's speech was incisive.,The boy's speech was dull.,1,1,510
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,3PWWM24LHT8PI4APF89V69BUTXS82J,She is as bright as A rusted nail,She is dumb,She is smart,0,1,514
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,3PWWM24LHT8PI4APF89V69BUTXS82J,She is as bright as 100watt bulb,She is dumb,She is smart,1,1,514
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,3PWWM24LHT8PI4APF89V69BUTXS82J,The fish is as elusive as A unicorn,It is hard to find,It is easy to find,0,1,516
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,3PWWM24LHT8PI4APF89V69BUTXS82J,The fish is as elusive as A blowhorn,It is hard to find,It is easy to find,1,1,516
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,3SNLUL3WO5XTHN3ASHS5HXSSWOHLU7,The house was as silent as a locomotive,The house was not silent,The house was silent,0,1,517
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,3SNLUL3WO5XTHN3ASHS5HXSSWOHLU7,The house was as silent as a tomb,The house was not silent,The house was silent,1,1,517
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,3SNLUL3WO5XTHN3ASHS5HXSSWOHLU7,The pillow is as soft as cotton,The pillow is soft,The pillow is not soft,0,1,518
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,3SNLUL3WO5XTHN3ASHS5HXSSWOHLU7,The pillow is as soft as a concrete block,The pillow is soft,The pillow is not soft,1,1,518
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,3SNLUL3WO5XTHN3ASHS5HXSSWOHLU7,The book was as enjoyable as a day at the fair,The book was enjoyable,The book was not enjoyable,0,1,519
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,3SNLUL3WO5XTHN3ASHS5HXSSWOHLU7,The book was as enjoyable as a funeral,The book was enjoyable,The book was not enjoyable,1,1,519
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,39LNWE0K4V6RRMV47EVSPH00FKBUIQ,Dinner was a symphony,The dinner was delightful and full of complex flavors that all worked well together,The dinner was boring with little flavor,0,1,522
3ATYLI1PRTCPM8XJ38ZHESRNCOSOJ3,39LNWE0K4V6RRMV47EVSPH00FKBUIQ,Dinner was as flat as a single note played on a recorder,The dinner was delightful and full of complex flavors that all worked well together,The dinner was boring with little flavor,1,1,522
